Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
ab1_simplex.110.fq.seed5.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3899001	3899001	0.000%	5
ab1_simplex.80.fq.seed4.ngs.fa		99.4	99.1	0.3	0.5	0.1	782	3896790	3896790	0.000%	6
ab1_simplex.120.fq.seed5.ont.fa		99.5	99.2	0.3	0.4	0.1	782	3896795	3896795	0.000%	5
ab1_R941.40.fq.seed5.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3899234	3899234	0.000%	4
ab1_R941.10.fq.seed2.ont.fa		84.6	84.3	0.3	7.3	8.1	782	3895906	3895906	0.000%	3
ab1_R941.20.fq.seed3.ont.fa		93.8	93.5	0.3	4.1	2.1	782	3892986	3892986	0.000%	2
ab1_R941.30.fq.seed1.ngs.fa		99.5	99.2	0.3	0.4	0.1	782	3896777	3896777	0.000%	3
ab1_simplex.120.fq.seed3.ont.fa		99.5	99.2	0.3	0.4	0.1	782	3900719	3900719	0.000%	6
ab1_simplex.100.fq.seed3.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3896777	3896777	0.000%	6
ab1_R941.10.fq.seed4.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3302076	3302076	0.000%	6
ab1_R941.90.fq.seed5.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3896773	3896773	0.000%	5
ab1_simplex.60.fq.seed3.ont.fa		99.3	99.0	0.3	0.6	0.1	782	3896806	3896806	0.000%	5
ab1_simplex.40.fq.seed3.ont.fa		99.0	98.7	0.3	0.8	0.2	782	3896834	3896834	0.000%	4
ab1_R941.30.fq.seed1.ont.fa		96.5	96.2	0.3	2.0	1.5	782	3896608	3896608	0.000%	3
ab1_R941.110.fq.seed3.ont.fa		98.0	97.7	0.3	1.5	0.5	782	3896613	3896613	0.000%	9
ab1_simplex.40.fq.seed4.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3896774	3896774	0.000%	5
ab1_R941.50.fq.seed4.ngs.fa		99.4	99.1	0.3	0.5	0.1	782	3898998	3898998	0.000%	5
ab1_R941.10.fq.seed2.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3895925	3895925	0.000%	3
ab1_simplex.90.fq.seed4.ngs.fa		99.7	99.4	0.3	0.1	0.2	782	3896777	3896777	0.000%	5
ab1_R941.120.fq.seed3.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3896783	3896783	0.000%	4
ab1_R941.30.fq.seed4.ngs.fa		99.4	99.1	0.3	0.4	0.2	782	3896783	3896783	0.000%	4
ab1_R941.110.fq.seed1.ngs.fa		99.7	99.4	0.3	0.3	0.0	782	3898073	3898073	0.000%	5
ab1_R941.40.fq.seed1.ngs.fa		99.5	99.2	0.3	0.4	0.1	782	3896827	3896827	0.000%	3
ab1_R941.80.fq.seed4.ont.fa		98.1	97.8	0.3	1.3	0.6	782	3896619	3896619	0.000%	7
ab1_simplex.80.fq.seed4.ont.fa		99.3	99.0	0.3	0.5	0.2	782	3896820	3896820	0.000%	6
ab1_simplex.10.fq.seed3.ngs.fa		98.5	98.2	0.3	0.4	1.1	782	1135788	1135788	0.000%	11
ab1_R941.30.fq.seed2.ont.fa		95.4	95.1	0.3	2.6	2.0	782	3896644	3896644	0.000%	4
ab1_R941.60.fq.seed3.ont.fa		97.2	96.9	0.3	1.9	0.9	782	3901662	3901662	0.000%	6
ab1_simplex.120.fq.seed3.ngs.fa		99.7	99.4	0.3	0.1	0.2	782	3900696	3900696	0.000%	6
ab1_R941.60.fq.seed4.ngs.fa		99.7	99.4	0.3	0.3	0.0	782	3900416	3900416	0.000%	5
ab1_simplex.20.fq.seed1.ngs.fa		99.7	99.4	0.3	0.1	0.2	782	3898740	3898740	0.000%	4
ab1_R941.10.fq.seed5.ngs.fa		99.4	99.1	0.3	0.4	0.2	782	2144607	2144607	0.000%	5
ab1_R941.30.fq.seed2.ngs.fa		99.4	99.1	0.3	0.4	0.2	782	3896813	3896813	0.000%	4
ab1_simplex.120.fq.seed2.ngs.fa		99.7	99.4	0.3	0.3	0.0	782	3897053	3897053	0.000%	5
ab1_simplex.100.fq.seed2.ont.fa		99.5	99.2	0.3	0.3	0.2	782	3896785	3896785	0.000%	5
ab1_simplex.110.fq.seed4.ngs.fa		99.8	99.5	0.3	0.1	0.1	782	3896772	3896772	0.000%	5
ab1_R941.20.fq.seed3.ngs.fa		99.4	99.1	0.3	0.4	0.2	782	3893176	3893175	0.000%	2
ab1_simplex.110.fq.seed1.ngs.fa		99.5	99.2	0.3	0.1	0.4	782	3896782	3896782	0.000%	5
ab1_simplex.70.fq.seed1.ngs.fa		99.5	99.2	0.3	0.4	0.1	782	3896780	3896780	0.000%	7
ab1_R941.30.fq.seed3.ont.fa		95.6	95.3	0.3	3.6	0.8	782	3897501	3897501	0.000%	3
ab1_simplex.110.fq.seed1.ont.fa		99.7	99.4	0.3	0.3	0.0	782	3896796	3896796	0.000%	7
ab1_R941.70.fq.seed1.ont.fa		97.5	97.2	0.3	1.7	0.8	782	3896337	3896337	0.000%	8
ab1_R941.110.fq.seed2.ngs.fa		99.5	99.2	0.3	0.1	0.4	782	3896778	3896778	0.000%	5
ab1_simplex.110.fq.seed2.ont.fa		99.4	99.1	0.3	0.3	0.3	782	3898161	3898161	0.000%	5
