Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
bc2_R941.120.fq.seed4.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5358181	5358181	0.000%	6
bc2_R941.50.fq.seed1.ont.fa	bacillales_odb10	98.9	97.8	1.1	0.9	0.2	450	5357708	5357708	0.000%	9
bc2_simplex.90.fq.seed5.ngs.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	5350465	5350465	0.000%	6
bc2_R941.20.fq.seed4.ont.fa	bacillales_odb10	96.7	95.8	0.9	2.9	0.4	450	5357456	5357456	0.000%	3
bc2_R941.70.fq.seed4.ont.fa	bacillales_odb10	98.9	97.8	1.1	0.9	0.2	450	5357789	5357789	0.000%	8
bc2_simplex.120.fq.seed5.ont.fa	bacillales_odb10	99.8	97.8	2.0	0.0	0.2	450	320329	320329	0.000%	143
bc2_R941.30.fq.seed2.ont.fa	bacillales_odb10	97.5	96.4	1.1	2.0	0.5	450	5357595	5357595	0.000%	2
bc2_simplex.30.fq.seed2.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5169249	5169249	0.000%	4
bc2_R941.110.fq.seed4.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5358182	5358182	0.000%	6
bc2_simplex.20.fq.seed5.ngs.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	2151909	2151909	0.000%	7
bc2_R941.110.fq.seed3.ont.fa	bacillales_odb10	99.1	98.0	1.1	0.7	0.2	450	5357686	5357686	0.000%	10
bc2_R941.30.fq.seed1.ont.fa	bacillales_odb10	98.2	97.1	1.1	1.3	0.5	450	5350385	5350385	0.000%	4
bc2_R941.30.fq.seed4.ont.fa	bacillales_odb10	98.2	97.1	1.1	1.6	0.2	450	5357627	5357627	0.000%	2
bc2_simplex.110.fq.seed1.ngs.fa	bacillales_odb10	99.6	98.0	1.6	0.2	0.2	450	5353934	5353934	0.000%	9
bc2_simplex.110.fq.seed3.ngs.fa	bacillales_odb10	99.1	98.0	1.1	0.7	0.2	450	5348178	5348178	0.000%	10
bc2_simplex.60.fq.seed2.ont.fa	bacillales_odb10	99.6	98.0	1.6	0.2	0.2	450	5349491	5349491	0.000%	68
bc2_R941.20.fq.seed1.ngs.fa	bacillales_odb10	99.1	98.0	1.1	0.4	0.5	450	5349199	5349199	0.000%	3
bc2_R941.120.fq.seed4.ont.fa	bacillales_odb10	99.1	98.0	1.1	0.7	0.2	450	5357665	5357665	0.000%	11
bc2_simplex.50.fq.seed2.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5349511	5349509	0.000%	7
bc2_R941.30.fq.seed1.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5350877	5350877	0.000%	4
bc2_R941.120.fq.seed1.ngs.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	5358185	5358185	0.000%	7
bc2_R941.100.fq.seed2.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5358193	5358193	0.000%	2
bc2_R941.40.fq.seed4.ngs.fa	bacillales_odb10	98.9	97.8	1.1	0.9	0.2	450	5358191	5358191	0.000%	2
bc2_R941.50.fq.seed3.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5358181	5358181	0.000%	11
bc2_R941.10.fq.seed5.ont.fa	bacillales_odb10	87.1	86.2	0.9	8.9	4.0	450	884176	884176	0.000%	12
bc2_simplex.40.fq.seed1.ngs.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	5346340	5346338	0.000%	5
bc2_simplex.120.fq.seed2.ont.fa	bacillales_odb10	99.8	98.2	1.6	0.0	0.2	450	167592	167592	0.000%	158
bc2_simplex.10.fq.seed2.ngs.fa	bacillales_odb10	97.3	96.2	1.1	0.9	1.8	450	194882	194882	0.000%	53
bc2_R941.120.fq.seed5.ngs.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	5358192	5358192	0.000%	2
bc2_simplex.20.fq.seed4.ont.fa	bacillales_odb10	99.3	98.2	1.1	0.4	0.3	450	5168387	5168387	0.000%	8
bc2_simplex.10.fq.seed1.ont.fa	bacillales_odb10	90.9	90.0	0.9	6.2	2.9	450	230247	230247	0.000%	47
bc2_simplex.110.fq.seed4.ngs.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5353940	5353940	0.000%	8
bc2_simplex.50.fq.seed2.ont.fa	bacillales_odb10	99.6	98.0	1.6	0.2	0.2	450	5349492	5349492	0.000%	42
bc2_simplex.40.fq.seed5.ngs.fa	bacillales_odb10	99.3	98.4	0.9	0.4	0.3	450	5165312	5165310	0.000%	5
bc2_simplex.60.fq.seed5.ont.fa	bacillales_odb10	99.5	98.4	1.1	0.2	0.3	450	5167397	5167397	0.000%	56
bc2_R941.20.fq.seed5.ont.fa	bacillales_odb10	96.2	95.3	0.9	3.1	0.7	450	5356491	5356491	0.000%	3
