Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
e4_simplex.90.fq.seed5.ont.fa		99.5	98.5	1.0	0.2	0.3	402	2786353	2786353	0.000%	13
e4_R941.10.fq.seed3.ngs.fa		95.3	94.3	1.0	0.7	4.0	402	1547364	1547364	0.000%	10
e4_simplex.10.fq.seed4.ngs.fa		99.0	98.0	1.0	0.5	0.5	402	609490	609490	0.000%	14
e4_R941.20.fq.seed2.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786348	2786348	0.000%	7
e4_R941.30.fq.seed5.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786366	2786363	0.000%	8
e4_simplex.30.fq.seed4.ont.fa		99.3	98.3	1.0	0.2	0.5	402	2786354	2786354	0.000%	7
e4_R941.20.fq.seed3.ont.fa		92.8	91.8	1.0	6.5	0.7	402	2802949	2802949	0.000%	8
e4_simplex.90.fq.seed2.ont.fa		99.5	98.5	1.0	0.2	0.3	402	2786360	2786360	0.000%	21
e4_R941.70.fq.seed5.ont.fa		96.8	95.8	1.0	2.7	0.5	402	2786049	2786049	0.000%	10
e4_simplex.80.fq.seed1.ont.fa		99.5	98.5	1.0	0.2	0.3	402	2786348	2786348	0.000%	14
e4_simplex.30.fq.seed5.ont.fa		98.8	97.8	1.0	1.0	0.2	402	2786359	2786359	0.000%	7
e4_R941.120.fq.seed1.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786373	2786373	0.000%	7
e4_simplex.10.fq.seed5.ngs.fa		97.5	96.3	1.2	0.7	1.8	402	454105	454105	0.000%	12
e4_R941.50.fq.seed5.ont.fa		96.0	95.0	1.0	3.5	0.5	402	2786012	2786012	0.000%	9
e4_R941.40.fq.seed3.ont.fa		97.3	96.3	1.0	2.2	0.5	402	2786016	2786016	0.000%	8
e4_R941.70.fq.seed3.ont.fa		96.8	95.8	1.0	2.7	0.5	402	2786038	2786038	0.000%	7
e4_R941.30.fq.seed1.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786195	2786195	0.000%	8
e4_R941.110.fq.seed2.ont.fa		97.2	96.5	0.7	1.7	1.1	402	2786021	2786021	0.000%	8
e4_simplex.120.fq.seed5.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786376	2786376	0.000%	8
e4_R941.110.fq.seed1.ont.fa		96.0	95.0	1.0	3.5	0.5	402	2786030	2786030	0.000%	7
e4_simplex.100.fq.seed1.ngs.fa		99.3	98.3	1.0	0.2	0.5	402	2786376	2786376	0.000%	8
e4_R941.80.fq.seed2.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786368	2786368	0.000%	8
e4_R941.30.fq.seed4.ngs.fa		99.5	98.5	1.0	0.2	0.3	402	2786360	2786360	0.000%	7
e4_R941.10.fq.seed2.ngs.fa		98.8	97.8	1.0	0.7	0.5	402	689738	689738	0.000%	15
e4_R941.100.fq.seed2.ont.fa		98.0	97.3	0.7	1.5	0.5	402	2786032	2786032	0.000%	7
e4_R941.40.fq.seed4.ngs.fa		99.3	98.3	1.0	0.5	0.2	402	2786369	2786369	0.000%	7
