Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
ecoli_simplex.60.fq.seed3.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847523	4847523	0.000%	14
ecoli_R941.120.fq.seed4.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847568	4847568	0.000%	28
ecoli_simplex.30.fq.seed5.ont.fa	enterobacterales_odb10	99.4	98.9	0.5	0.5	0.1	440	4847504	4847504	0.000%	14
ecoli_R941.110.fq.seed5.ngs.fa	enterobacterales_odb10	99.8	99.1	0.7	0.2	0.0	440	4847543	4847543	0.000%	29
ecoli_simplex.80.fq.seed2.ont.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847516	4847516	0.000%	14
ecoli_simplex.100.fq.seed5.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847563	4847563	0.000%	15
ecoli_R941.100.fq.seed1.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	1.4	0.4	440	4847229	4847229	0.000%	52
ecoli_simplex.10.fq.seed5.ngs.fa	enterobacterales_odb10	98.4	98.2	0.2	0.7	0.9	440	239747	239747	0.000%	46
ecoli_R941.100.fq.seed3.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847546	4847544	0.000%	23
ecoli_R941.20.fq.seed2.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	2.3	0.2	440	4847031	4847031	0.000%	14
ecoli_simplex.90.fq.seed3.ont.fa	enterobacterales_odb10	99.6	99.1	0.5	0.2	0.2	440	4847522	4847522	0.000%	15
ecoli_simplex.80.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847550	4847550	0.000%	13
ecoli_R941.10.fq.seed2.ont.fa	enterobacterales_odb10	85.7	85.5	0.2	9.1	5.2	440	506215	506215	0.000%	30
ecoli_R941.30.fq.seed5.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	1.4	0.4	440	4847172	4847172	0.000%	25
ecoli_simplex.30.fq.seed2.ngs.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847553	4847553	0.000%	14
ecoli_R941.50.fq.seed3.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	1.4	0.1	440	4847195	4847195	0.000%	28
ecoli_R941.120.fq.seed1.ont.fa	enterobacterales_odb10	98.9	98.0	0.9	0.7	0.4	440	4847201	4847201	0.000%	71
ecoli_R941.60.fq.seed2.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	1.4	0.1	440	4847281	4847281	0.000%	28
ecoli_R941.80.fq.seed2.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	1.4	0.4	440	4847206	4847206	0.000%	39
ecoli_R941.90.fq.seed2.ont.fa	enterobacterales_odb10	98.7	98.2	0.5	1.1	0.2	440	4847193	4847193	0.000%	44
ecoli_R941.60.fq.seed2.ngs.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847625	4847625	0.000%	19
ecoli_R941.50.fq.seed5.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847535	4847535	0.000%	20
ecoli_R941.100.fq.seed5.ont.fa	enterobacterales_odb10	98.4	97.7	0.7	1.1	0.5	440	4847208	4847208	0.000%	48
ecoli_R941.20.fq.seed5.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	2723484	2723484	0.000%	17
ecoli_simplex.70.fq.seed2.ont.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847532	4847532	0.000%	16
ecoli_R941.110.fq.seed1.ngs.fa	enterobacterales_odb10	99.4	98.9	0.5	0.5	0.1	440	4847560	4847560	0.000%	19
ecoli_simplex.100.fq.seed3.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847550	4847550	0.000%	15
ecoli_R941.70.fq.seed3.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	1.4	0.4	440	4847215	4847215	0.000%	36
ecoli_simplex.70.fq.seed4.ont.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847528	4847528	0.000%	15
ecoli_simplex.80.fq.seed4.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847521	4847521	0.000%	14
ecoli_simplex.60.fq.seed3.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847553	4847553	0.000%	14
ecoli_simplex.80.fq.seed3.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847521	4847521	0.000%	15
ecoli_simplex.90.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847541	4847541	0.000%	14
ecoli_simplex.90.fq.seed1.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847508	4847508	0.000%	15
ecoli_simplex.40.fq.seed5.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847548	4847548	0.000%	13
ecoli_simplex.110.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847539	4847539	0.000%	17
ecoli_R941.10.fq.seed1.ont.fa	enterobacterales_odb10	84.3	84.1	0.2	9.8	5.9	440	856038	856038	0.000%	21
ecoli_R941.90.fq.seed5.ont.fa	enterobacterales_odb10	98.2	97.5	0.7	1.4	0.4	440	4847203	4847203	0.000%	48
ecoli_simplex.70.fq.seed4.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847554	4847554	0.000%	15
ecoli_R941.90.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847537	4847537	0.000%	21
ecoli_R941.70.fq.seed2.ont.fa	enterobacterales_odb10	99.1	98.6	0.5	0.9	0.0	440	4847211	4847211	0.000%	39
ecoli_simplex.110.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847544	4847544	0.000%	15
ecoli_R941.90.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847533	4847533	0.000%	23
ecoli_simplex.120.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847556	4847556	0.000%	15
ecoli_simplex.10.fq.seed4.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	439620	439620	0.000%	30
ecoli_R941.80.fq.seed4.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	1.4	0.1	440	4847201	4847201	0.000%	40
ecoli_R941.50.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847534	4847534	0.000%	21
ecoli_simplex.110.fq.seed1.ont.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847511	4847511	0.000%	18
ecoli_simplex.50.fq.seed2.ont.fa	enterobacterales_odb10	99.6	99.1	0.5	0.5	0.1	440	4847509	4847509	0.000%	15
ecoli_R941.10.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.6	0.5	0.5	0.4	440	561257	561257	0.000%	27
ecoli_simplex.40.fq.seed4.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847551	4847551	0.000%	13
ecoli_R941.10.fq.seed1.ngs.fa	enterobacterales_odb10	98.9	98.4	0.5	0.7	0.4	440	856396	856396	0.000%	21
ecoli_R941.20.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	1.6	0.9	440	4847021	4847021	0.000%	17
ecoli_simplex.60.fq.seed1.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847513	4847513	0.000%	15
ecoli_R941.70.fq.seed3.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847546	4847546	0.000%	21
ecoli_simplex.20.fq.seed4.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847731	4847731	0.000%	12
ecoli_simplex.120.fq.seed5.ont.fa	enterobacterales_odb10	99.4	98.9	0.5	0.5	0.1	440	4847520	4847520	0.000%	16
ecoli_simplex.20.fq.seed5.ont.fa	enterobacterales_odb10	98.7	98.2	0.5	0.9	0.4	440	4842981	4842981	0.000%	12
ecoli_simplex.100.fq.seed3.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847512	4847512	0.000%	15
ecoli_simplex.10.fq.seed3.ont.fa	enterobacterales_odb10	94.1	93.6	0.5	4.1	1.8	440	313692	313692	0.000%	38
ecoli_simplex.10.fq.seed4.ont.fa	enterobacterales_odb10	94.4	93.9	0.5	4.5	1.1	440	439587	439587	0.000%	30
ecoli_R941.60.fq.seed1.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	1.1	0.4	440	4847248	4847248	0.000%	39
ecoli_R941.30.fq.seed1.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	1.6	0.2	440	4847157	4847157	0.000%	24
ecoli_R941.100.fq.seed3.ont.fa	enterobacterales_odb10	98.4	97.7	0.7	1.4	0.2	440	4847216	4847216	0.000%	47
ecoli_R941.120.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847539	4847539	0.000%	22
ecoli_R941.40.fq.seed4.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	0.9	0.6	440	4847198	4847198	0.000%	25
ecoli_simplex.110.fq.seed4.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847519	4847519	0.000%	15
ecoli_simplex.120.fq.seed1.ont.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847511	4847511	0.000%	16
ecoli_R941.110.fq.seed5.ont.fa	enterobacterales_odb10	98.2	97.5	0.7	1.4	0.4	440	4847199	4847199	0.000%	57
ecoli_simplex.50.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847542	4847542	0.000%	15
ecoli_simplex.60.fq.seed1.ngs.fa	enterobacterales_odb10	99.4	98.9	0.5	0.5	0.1	440	4847543	4847543	0.000%	15
ecoli_simplex.70.fq.seed1.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847539	4847539	0.000%	13
ecoli_simplex.70.fq.seed5.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847548	4847548	0.000%	14
ecoli_R941.120.fq.seed3.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847537	4847537	0.000%	26
ecoli_R941.80.fq.seed3.ont.fa	enterobacterales_odb10	98.7	98.2	0.5	0.9	0.4	440	4847195	4847195	0.000%	44
ecoli_R941.70.fq.seed4.ngs.fa	enterobacterales_odb10	99.8	99.3	0.5	0.2	0.0	440	4847562	4847562	0.000%	26
ecoli_R941.50.fq.seed3.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847536	4847536	0.000%	22
ecoli_simplex.100.fq.seed2.ngs.fa	enterobacterales_odb10	100.0	99.5	0.5	0.0	0.0	440	4847549	4847549	0.000%	14
