Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
kp1_R941.90.fq.seed3.ont.fa	enterobacterales_odb10	96.6	96.1	0.5	2.0	1.4	440	5324248	5324248	0.000%	4
kp1_R941.80.fq.seed4.ngs.fa	enterobacterales_odb10	98.2	97.7	0.5	0.7	1.1	440	5327189	5327189	0.000%	4
kp1_R941.50.fq.seed3.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324880	5324880	0.000%	4
kp1_simplex.50.fq.seed3.ont.fa	enterobacterales_odb10	98.5	98.0	0.5	0.5	1.0	440	5324825	5324825	0.000%	4
kp1_R941.120.fq.seed3.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324876	5324876	0.000%	4
kp1_simplex.40.fq.seed1.ngs.fa	enterobacterales_odb10	98.5	98.0	0.5	0.5	1.0	440	5324884	5324884	0.000%	4
kp1_simplex.10.fq.seed5.ngs.fa	enterobacterales_odb10	98.0	97.5	0.5	0.9	1.1	440	1602380	1602380	0.000%	7
kp1_R941.90.fq.seed1.ngs.fa	enterobacterales_odb10	98.5	98.0	0.5	0.2	1.3	440	5324823	5324823	0.000%	4
kp1_R941.40.fq.seed4.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324869	5324869	0.000%	4
kp1_R941.110.fq.seed5.ont.fa	enterobacterales_odb10	96.9	96.4	0.5	2.0	1.1	440	5324233	5324233	0.000%	4
kp1_R941.60.fq.seed4.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324866	5324866	0.000%	3
kp1_simplex.60.fq.seed3.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324882	5324882	0.000%	4
kp1_simplex.50.fq.seed3.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324889	5324889	0.000%	4
kp1_simplex.120.fq.seed5.ngs.fa	enterobacterales_odb10	98.2	97.7	0.5	0.7	1.1	440	5324878	5324878	0.000%	4
kp1_R941.50.fq.seed2.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	1.4	1.1	440	5324209	5324209	0.000%	4
kp1_simplex.30.fq.seed3.ngs.fa	enterobacterales_odb10	98.2	97.7	0.5	0.7	1.1	440	5324884	5324884	0.000%	4
kp1_simplex.10.fq.seed3.ont.fa	enterobacterales_odb10	91.6	91.1	0.5	5.2	3.2	440	3409692	3409692	0.000%	9
kp1_simplex.90.fq.seed4.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	0.5	1.3	440	5324820	5324820	0.000%	5
kp1_R941.60.fq.seed2.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	1.4	1.1	440	5324253	5324253	0.000%	4
kp1_R941.60.fq.seed3.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324876	5324876	0.000%	4
kp1_simplex.80.fq.seed4.ngs.fa	enterobacterales_odb10	98.7	98.2	0.5	0.2	1.1	440	5324879	5324879	0.000%	4
kp1_R941.50.fq.seed1.ngs.fa	enterobacterales_odb10	98.2	97.7	0.5	0.5	1.3	440	5324872	5324872	0.000%	4
kp1_simplex.60.fq.seed2.ont.fa	enterobacterales_odb10	98.2	97.7	0.5	0.5	1.3	440	5324824	5324824	0.000%	4
kp1_R941.40.fq.seed4.ont.fa	enterobacterales_odb10	97.3	96.8	0.5	1.1	1.6	440	5324181	5324181	0.000%	4
kp1_R941.10.fq.seed3.ngs.fa	enterobacterales_odb10	98.5	98.0	0.5	0.5	1.0	440	1277785	1277785	0.000%	6
