Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
pse_R941.40.fq.seed4.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384183	6384183	0.000%	1
pse_R941.60.fq.seed2.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384171	6384171	0.000%	1
pse_R941.90.fq.seed3.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384170	6384170	0.000%	1
pse_simplex.110.fq.seed1.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384128	6384128	0.000%	10
pse_R941.90.fq.seed2.ont.fa		98.9	98.5	0.4	0.9	0.2	782	6383708	6383708	0.000%	2
pse_R941.20.fq.seed1.ont.fa		97.6	97.2	0.4	1.7	0.7	782	6383408	6383408	0.000%	1
pse_R941.10.fq.seed4.ont.fa		88.5	88.2	0.3	6.1	5.4	782	5410527	5410527	0.000%	3
pse_simplex.50.fq.seed1.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384167	6384167	0.000%	4
pse_simplex.20.fq.seed2.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384170	6384170	0.000%	3
pse_simplex.40.fq.seed4.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384124	6384124	0.000%	5
pse_simplex.120.fq.seed5.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384171	6384171	0.000%	4
pse_simplex.80.fq.seed2.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384220	6384220	0.000%	4
pse_simplex.100.fq.seed3.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384185	6384185	0.000%	9
pse_simplex.110.fq.seed5.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384201	6384201	0.000%	4
pse_R941.70.fq.seed4.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384175	6384175	0.000%	1
pse_simplex.120.fq.seed3.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384179	6384179	0.000%	4
pse_R941.30.fq.seed4.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384176	6384176	0.000%	1
pse_R941.110.fq.seed5.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384031	6384031	0.000%	1
pse_R941.30.fq.seed1.ont.fa		98.0	97.6	0.4	1.4	0.6	782	6383564	6383564	0.000%	1
pse_simplex.90.fq.seed4.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384134	6384134	0.000%	8
pse_simplex.10.fq.seed5.ngs.fa		99.5	99.1	0.4	0.5	0.0	782	3556352	3556352	0.000%	5
pse_simplex.80.fq.seed4.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384181	6384181	0.000%	4
pse_R941.110.fq.seed4.ont.fa		98.5	98.1	0.4	1.3	0.2	782	6383608	6383608	0.000%	4
pse_R941.10.fq.seed2.ont.fa		90.4	90.0	0.4	5.1	4.5	782	3964194	3964194	0.000%	3
pse_R941.110.fq.seed3.ngs.fa		99.6	99.2	0.4	0.4	0.0	782	6384190	6384190	0.000%	1
pse_simplex.40.fq.seed1.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384132	6384132	0.000%	3
pse_R941.110.fq.seed5.ont.fa		98.2	97.8	0.4	1.4	0.4	782	6383618	6383618	0.000%	4
pse_simplex.50.fq.seed3.ngs.fa		99.4	99.0	0.4	0.5	0.1	782	6384165	6384165	0.000%	4
pse_simplex.70.fq.seed3.ngs.fa		99.6	99.2	0.4	0.4	0.0	782	6384184	6384183	0.000%	3
pse_R941.100.fq.seed1.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384173	6384173	0.000%	1
pse_R941.70.fq.seed5.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6383996	6383996	0.000%	1
pse_simplex.90.fq.seed3.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384131	6384131	0.000%	7
pse_simplex.10.fq.seed5.ont.fa		97.1	96.7	0.4	2.0	0.9	782	3556248	3556248	0.000%	5
pse_simplex.110.fq.seed2.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384174	6384174	0.000%	4
pse_R941.100.fq.seed4.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384170	6384170	0.000%	1
pse_R941.110.fq.seed2.ngs.fa		99.5	99.1	0.4	0.3	0.2	782	6384199	6384199	0.000%	1
pse_simplex.40.fq.seed2.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384131	6384131	0.000%	3
pse_R941.90.fq.seed4.ont.fa		98.4	98.0	0.4	1.4	0.2	782	6383628	6383628	0.000%	4
pse_simplex.70.fq.seed4.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6384170	6384170	0.000%	4
pse_R941.60.fq.seed1.ngs.fa		99.5	99.1	0.4	0.4	0.1	782	6384215	6384215	0.000%	1
pse_simplex.100.fq.seed5.ngs.fa		99.6	99.2	0.4	0.4	0.0	782	6384208	6384208	0.000%	4
pse_simplex.120.fq.seed2.ont.fa		99.9	99.4	0.5	0.1	0.0	782	6384135	6384135	0.000%	8
pse_R941.60.fq.seed3.ont.fa		98.6	98.2	0.4	1.0	0.4	782	6383689	6383689	0.000%	1
pse_R941.100.fq.seed2.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384242	6384242	0.000%	1
pse_simplex.100.fq.seed4.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384185	6384185	0.000%	4
pse_R941.60.fq.seed5.ngs.fa		99.5	99.1	0.4	0.4	0.1	782	6384172	6384172	0.000%	1
pse_simplex.60.fq.seed4.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384134	6384134	0.000%	5
pse_simplex.20.fq.seed1.ont.fa		99.6	99.2	0.4	0.3	0.1	782	6384100	6384100	0.000%	3
pse_simplex.40.fq.seed3.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384134	6384134	0.000%	4
pse_simplex.70.fq.seed1.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384169	6384169	0.000%	4
pse_simplex.80.fq.seed1.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6384208	6384208	0.000%	4
pse_simplex.60.fq.seed5.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384192	6384192	0.000%	4
pse_R941.50.fq.seed3.ont.fa		98.1	97.7	0.4	1.4	0.5	782	6383642	6383642	0.000%	1
pse_R941.50.fq.seed3.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384186	6384186	0.000%	1
pse_simplex.40.fq.seed4.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6384177	6384177	0.000%	4
pse_simplex.50.fq.seed5.ont.fa		99.8	99.4	0.4	0.1	0.1	782	6384124	6384124	0.000%	4
pse_R941.20.fq.seed5.ont.fa		97.6	97.2	0.4	1.9	0.5	782	6383373	6383373	0.000%	1
pse_R941.40.fq.seed2.ngs.fa		99.5	99.1	0.4	0.3	0.2	782	6384192	6384192	0.000%	1
pse_simplex.80.fq.seed5.ngs.fa		99.5	99.1	0.4	0.3	0.2	782	6384178	6384177	0.000%	4
pse_R941.20.fq.seed1.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384188	6384188	0.000%	1
pse_R941.70.fq.seed2.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384193	6384193	0.000%	1
pse_R941.120.fq.seed2.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384181	6384181	0.000%	1
pse_simplex.60.fq.seed2.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384159	6384159	0.000%	4
pse_R941.20.fq.seed3.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6383970	6383970	0.000%	1
pse_R941.90.fq.seed2.ngs.fa		99.5	99.1	0.4	0.4	0.1	782	6384254	6384254	0.000%	1
pse_R941.70.fq.seed1.ngs.fa		99.6	99.2	0.4	0.4	0.0	782	6384180	6384180	0.000%	1
pse_simplex.10.fq.seed3.ngs.fa		98.9	98.5	0.4	0.3	0.8	782	1338511	1338511	0.000%	7
pse_simplex.100.fq.seed1.ngs.fa		99.8	99.4	0.4	0.3	0.1	782	6384177	6384177	0.000%	4
pse_R941.20.fq.seed4.ont.fa		96.8	96.4	0.4	2.4	0.8	782	6383413	6383413	0.000%	2
pse_simplex.30.fq.seed3.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384118	6384118	0.000%	3
pse_R941.20.fq.seed5.ngs.fa		99.4	99.0	0.4	0.5	0.1	782	6384180	6384180	0.000%	1
pse_R941.60.fq.seed5.ont.fa		98.7	98.3	0.4	1.0	0.3	782	6383657	6383657	0.000%	1
pse_simplex.50.fq.seed4.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384126	6384126	0.000%	5
pse_simplex.120.fq.seed5.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384131	6384131	0.000%	8
pse_simplex.20.fq.seed4.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384173	6384173	0.000%	3
pse_R941.80.fq.seed1.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384171	6384171	0.000%	1
pse_simplex.110.fq.seed3.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384133	6384133	0.000%	10
pse_R941.10.fq.seed2.ngs.fa		99.5	99.1	0.4	0.4	0.1	782	3965682	3965681	0.000%	3
pse_simplex.50.fq.seed2.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384168	6384168	0.000%	4
pse_simplex.70.fq.seed5.ngs.fa		99.6	99.2	0.4	0.3	0.1	782	6384180	6384180	0.000%	4
pse_R941.10.fq.seed5.ont.fa		88.0	87.7	0.3	6.6	5.4	782	4543088	4543088	0.000%	2
pse_simplex.30.fq.seed5.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6384173	6384172	0.000%	4
pse_R941.80.fq.seed4.ngs.fa		99.9	99.5	0.4	0.1	0.0	782	6384173	6384173	0.000%	1
pse_simplex.110.fq.seed5.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384150	6384150	0.000%	9
pse_simplex.90.fq.seed3.ngs.fa		99.8	99.4	0.4	0.1	0.1	782	6384159	6384159	0.000%	4
pse_R941.50.fq.seed5.ngs.fa		99.6	99.2	0.4	0.1	0.3	782	6384185	6384185	0.000%	1
pse_R941.50.fq.seed4.ont.fa		98.6	98.2	0.4	1.0	0.4	782	6383673	6383673	0.000%	3
pse_simplex.80.fq.seed1.ont.fa		99.9	99.5	0.4	0.1	0.0	782	6384186	6384186	0.000%	7
pse_R941.80.fq.seed2.ngs.fa		99.5	99.1	0.4	0.3	0.2	782	6384172	6384172	0.000%	1
pse_R941.80.fq.seed5.ont.fa		98.5	98.1	0.4	1.2	0.3	782	6383654	6383654	0.000%	2
