Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
sau_R941.10.fq.seed5.ont.fa	bacillales_odb10	85.8	85.8	0.0	9.6	4.6	450	1924516	1924516	0.000%	4
sau_simplex.20.fq.seed2.ont.fa	bacillales_odb10	98.7	98.7	0.0	0.7	0.6	450	2847225	2847225	0.000%	3
sau_R941.20.fq.seed3.ont.fa	bacillales_odb10	97.3	97.3	0.0	1.6	1.1	450	2841889	2841889	0.000%	2
sau_R941.10.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	1924722	1924722	0.000%	4
sau_simplex.60.fq.seed1.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847213	2847213	0.000%	2
sau_simplex.110.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847225	2847225	0.000%	2
sau_R941.10.fq.seed4.ngs.fa	bacillales_odb10	98.9	98.9	0.0	0.7	0.4	450	892458	892458	0.000%	8
sau_R941.120.fq.seed4.ont.fa	bacillales_odb10	98.6	98.4	0.2	0.9	0.5	450	2847101	2847101	0.000%	15
sau_R941.80.fq.seed2.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847225	2847225	0.000%	3
sau_simplex.110.fq.seed5.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847213	2847213	0.000%	9
sau_R941.70.fq.seed2.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847128	2847128	0.000%	9
sau_simplex.10.fq.seed4.ont.fa	bacillales_odb10	87.8	87.8	0.0	4.2	8.0	450	445435	445435	0.000%	22
sau_R941.60.fq.seed2.ont.fa	bacillales_odb10	99.3	99.3	0.0	0.2	0.5	450	2847113	2847113	0.000%	8
sau_R941.50.fq.seed5.ngs.fa	bacillales_odb10	99.3	99.3	0.0	0.4	0.3	450	2847223	2847223	0.000%	2
sau_R941.110.fq.seed4.ont.fa	bacillales_odb10	98.5	97.8	0.7	0.7	0.8	450	2847105	2847105	0.000%	15
sau_simplex.100.fq.seed3.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847214	2847214	0.000%	5
sau_simplex.120.fq.seed1.ont.fa	bacillales_odb10	99.3	99.3	0.0	0.4	0.3	450	2847210	2847210	0.000%	5
sau_R941.100.fq.seed3.ont.fa	bacillales_odb10	98.2	98.2	0.0	1.1	0.7	450	2847099	2847099	0.000%	16
sau_simplex.30.fq.seed2.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847219	2847219	0.000%	2
sau_simplex.30.fq.seed1.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847219	2847219	0.000%	2
sau_simplex.30.fq.seed1.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847209	2847209	0.000%	2
sau_R941.100.fq.seed1.ont.fa	bacillales_odb10	98.4	98.0	0.4	1.1	0.5	450	2847108	2847108	0.000%	12
sau_simplex.30.fq.seed3.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847223	2847223	0.000%	2
sau_simplex.10.fq.seed1.ngs.fa	bacillales_odb10	93.6	93.6	0.0	0.2	6.2	450	614510	614510	0.000%	16
sau_R941.120.fq.seed2.ngs.fa	bacillales_odb10	99.1	99.1	0.0	0.7	0.2	450	2847225	2847225	0.000%	3
sau_simplex.40.fq.seed5.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847216	2847216	0.000%	2
sau_R941.70.fq.seed3.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847223	2847223	0.000%	2
sau_R941.110.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847218	2847218	0.000%	2
sau_R941.10.fq.seed3.ont.fa	bacillales_odb10	86.4	86.4	0.0	8.7	4.9	450	923402	923402	0.000%	7
sau_simplex.10.fq.seed3.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	374880	374880	0.000%	14
sau_R941.90.fq.seed4.ont.fa	bacillales_odb10	98.9	98.7	0.2	0.4	0.7	450	2847105	2847105	0.000%	12
sau_simplex.60.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847222	2847222	0.000%	2
sau_R941.40.fq.seed5.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847219	2847219	0.000%	2
sau_R941.120.fq.seed2.ont.fa	bacillales_odb10	98.6	98.4	0.2	0.9	0.5	450	2847097	2847097	0.000%	20
sau_simplex.90.fq.seed3.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847211	2847211	0.000%	4
sau_simplex.100.fq.seed1.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847221	2847220	0.000%	2
sau_simplex.40.fq.seed1.ngs.fa	bacillales_odb10	99.3	99.3	0.0	0.7	0.0	450	2847227	2847227	0.000%	2
sau_simplex.20.fq.seed5.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2783254	2783254	0.000%	4
sau_simplex.40.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847222	2847222	0.000%	2
sau_R941.110.fq.seed5.ont.fa	bacillales_odb10	98.0	97.6	0.4	1.3	0.7	450	2847091	2847091	0.000%	22
sau_R941.70.fq.seed5.ont.fa	bacillales_odb10	99.1	98.9	0.2	0.7	0.2	450	2847113	2847113	0.000%	10
sau_R941.30.fq.seed1.ngs.fa	bacillales_odb10	99.3	99.3	0.0	0.7	0.0	450	2847222	2847222	0.000%	2
sau_R941.120.fq.seed3.ont.fa	bacillales_odb10	98.7	98.7	0.0	0.7	0.6	450	2847108	2847108	0.000%	17
sau_R941.40.fq.seed4.ont.fa	bacillales_odb10	98.7	98.7	0.0	0.7	0.6	450	2847108	2847108	0.000%	3
sau_simplex.100.fq.seed2.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847218	2847218	0.000%	2
sau_simplex.80.fq.seed5.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847215	2847215	0.000%	3
sau_simplex.50.fq.seed2.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847214	2847214	0.000%	3
sau_R941.40.fq.seed3.ont.fa	bacillales_odb10	98.4	98.4	0.0	1.1	0.5	450	2847117	2847117	0.000%	4
sau_R941.10.fq.seed3.ngs.fa	bacillales_odb10	98.9	98.9	0.0	0.7	0.4	450	923492	923492	0.000%	7
sau_R941.30.fq.seed3.ont.fa	bacillales_odb10	98.2	98.2	0.0	1.1	0.7	450	2847073	2847073	0.000%	2
sau_R941.70.fq.seed4.ont.fa	bacillales_odb10	98.2	98.2	0.0	0.9	0.9	450	2847116	2847116	0.000%	6
sau_simplex.90.fq.seed4.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847224	2847224	0.000%	3
sau_R941.120.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847223	2847223	0.000%	3
sau_R941.100.fq.seed4.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847233	2847233	0.000%	2
sau_simplex.120.fq.seed3.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847215	2847215	0.000%	6
sau_simplex.20.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847220	2847220	0.000%	2
sau_simplex.90.fq.seed5.ont.fa	bacillales_odb10	99.6	99.6	0.0	0.2	0.2	450	2847214	2847214	0.000%	4
sau_simplex.40.fq.seed3.ont.fa	bacillales_odb10	99.1	99.1	0.0	0.4	0.5	450	2847210	2847210	0.000%	2
sau_R941.80.fq.seed3.ont.fa	bacillales_odb10	98.9	98.9	0.0	0.7	0.4	450	2847116	2847116	0.000%	14
sau_R941.110.fq.seed1.ngs.fa	bacillales_odb10	99.3	99.3	0.0	0.4	0.3	450	2847219	2847219	0.000%	2
sau_R941.50.fq.seed3.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847215	2847215	0.000%	2
sau_simplex.80.fq.seed3.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847216	2847216	0.000%	4
sau_R941.120.fq.seed1.ont.fa	bacillales_odb10	98.2	98.0	0.2	1.1	0.7	450	2847095	2847095	0.000%	16
sau_simplex.110.fq.seed4.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847222	2847222	0.000%	3
sau_simplex.90.fq.seed1.ngs.fa	bacillales_odb10	99.3	99.3	0.0	0.7	0.0	450	2847222	2847222	0.000%	2
sau_R941.20.fq.seed5.ont.fa	bacillales_odb10	97.8	97.8	0.0	2.0	0.2	450	2847034	2847034	0.000%	2
sau_R941.70.fq.seed2.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847217	2847217	0.000%	2
sau_simplex.90.fq.seed3.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847224	2847224	0.000%	2
sau_simplex.120.fq.seed4.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847209	2847209	0.000%	8
sau_R941.10.fq.seed1.ngs.fa	bacillales_odb10	99.3	99.1	0.2	0.4	0.3	450	480424	480424	0.000%	10
sau_R941.50.fq.seed1.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847224	2847224	0.000%	2
sau_simplex.70.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847220	2847220	0.000%	2
sau_simplex.40.fq.seed5.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847222	2847222	0.000%	2
sau_R941.20.fq.seed3.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2842069	2842069	0.000%	2
sau_simplex.60.fq.seed2.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847214	2847214	0.000%	3
sau_R941.20.fq.seed2.ont.fa	bacillales_odb10	97.3	97.3	0.0	1.1	1.6	450	2847009	2847009	0.000%	2
sau_R941.110.fq.seed3.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847218	2847218	0.000%	2
sau_R941.90.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847222	2847222	0.000%	3
sau_simplex.60.fq.seed5.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847218	2847218	0.000%	2
sau_simplex.70.fq.seed3.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847211	2847211	0.000%	4
sau_R941.20.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847819	2847819	0.000%	2
sau_R941.50.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847221	2847221	0.000%	2
sau_R941.60.fq.seed5.ont.fa	bacillales_odb10	99.1	99.1	0.0	0.7	0.2	450	2847105	2847105	0.000%	6
sau_R941.40.fq.seed1.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847216	2847216	0.000%	2
sau_simplex.80.fq.seed4.ont.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847212	2847212	0.000%	7
sau_simplex.100.fq.seed5.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847221	2847221	0.000%	2
sau_simplex.20.fq.seed4.ont.fa	bacillales_odb10	99.1	99.1	0.0	0.2	0.7	450	2847220	2847220	0.000%	2
sau_R941.80.fq.seed1.ont.fa	bacillales_odb10	98.2	98.0	0.2	1.3	0.5	450	2847117	2847117	0.000%	10
sau_R941.50.fq.seed2.ont.fa	bacillales_odb10	99.1	99.1	0.0	0.7	0.2	450	2847108	2847108	0.000%	8
sau_R941.20.fq.seed1.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847222	2847222	0.000%	2
sau_simplex.20.fq.seed2.ngs.fa	bacillales_odb10	99.6	99.6	0.0	0.4	0.0	450	2847221	2847221	0.000%	3
sau_R941.90.fq.seed4.ngs.fa	bacillales_odb10	99.8	99.8	0.0	0.2	0.0	450	2847215	2847215	0.000%	2
