Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
pse_R941.100.fq.seed1.ngs	1	1	1	1	1	1	6384173	6384173	6384173	6384173	6384173	6384173	1	6384173	6384173	6410639	66.40	66.40	6384173	6384173	6384173	6384173	6384173.0	6357816.3	1	1	1	1	1	1	6384173	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.60	6384173	6384173	6384173	6384173	6384173	6384173	6384173.0	6357816.3	1	1	1	1
pse_R941.100.fq.seed1.ont	4	4	4	3	2	1	6431341	6431341	6431341	6424257	6410191	6383627	4	6383627	6431341	6410639	66.19	66.40	6383627	6383627	6383627	6383627	6336415.3	6356877.6	1	1	1	1	1	1	6383627	0	0	0	0	3 + 0 part	47714	99.587	1.000	0.00	0.60	7.68	6383627	6383627	6383627	6383627	6383627	6383627	6336267.0	6356728.8	1	1	1	1
pse_R941.100.fq.seed2.ngs	1	1	1	1	1	1	6384242	6384242	6384242	6384242	6384242	6384242	1	6384242	6384242	6410639	66.40	66.40	6384242	6384242	6384242	6384242	6384242.0	6357953.7	1	1	1	1	1	1	6384242	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.49	6384242	6384242	6384242	6384242	6384242	6384242	6384242.0	6357953.7	1	1	1	1
pse_R941.100.fq.seed2.ont	5	5	5	3	3	1	6465495	6465495	6465495	6450632	6450632	6383713	5	6383713	6465495	6410639	66.13	66.40	6383713	6383713	6383713	6383713	6303343.8	6357281.7	1	1	1	1	1	1	6383713	0	0	0	0	4 + 0 part	81782	99.587	1.000	0.00	0.77	7.44	6383713	6383713	6383713	6383713	6383713	6383713	6302965.5	6356900.1	1	1	1	1
pse_R941.100.fq.seed3.ngs	1	1	1	1	1	1	6384166	6384166	6384166	6384166	6384166	6384166	1	6384166	6384166	6410639	66.40	66.40	6384166	6384166	6384166	6384166	6384166.0	6357802.3	1	1	1	1	1	1	6384166	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.42	6384166	6384166	6384166	6384166	6384166	6384166	6384166.0	6357802.3	1	1	1	1
pse_R941.100.fq.seed3.ont	2	2	2	2	2	1	6410217	6410217	6410217	6410217	6410217	6383648	2	6383648	6410217	6410639	66.26	66.40	6383648	6383648	6383648	6383648	6357299.2	6356880.8	1	1	1	1	1	1	6383648	0	0	0	0	1 + 0 part	26569	99.587	1.000	0.00	0.58	7.44	6383648	6383648	6383648	6383648	6383648	6383648	6357189.1	6356770.6	1	1	1	1
pse_R941.100.fq.seed4.ngs	1	1	1	1	1	1	6384170	6384170	6384170	6384170	6384170	6384170	1	6384170	6384170	6410639	66.40	66.40	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1	1	1	6384170	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.42	6384170	6384170	6384170	6384170	6384170	6384170	6384170.0	6357810.3	1	1	1	1
pse_R941.100.fq.seed4.ont	4	4	4	3	2	1	6440996	6440996	6440996	6433925	6410209	6383632	4	6383632	6440996	6410639	66.14	66.40	6383632	6383632	6383632	6383632	6326983.6	6356944.5	1	1	1	1	1	1	6383632	0	0	0	0	3 + 0 part	57364	99.587	1.000	0.00	0.75	7.72	6383632	6383632	6383632	6383632	6383632	6383632	6326778.9	6356738.8	1	1	1	1
pse_R941.100.fq.seed5.ngs	1	1	1	1	1	1	6384250	6384250	6384250	6384250	6384250	6384250	1	6384250	6384250	6410639	66.40	66.40	6384250	6384250	6384250	6384250	6384250.0	6357969.6	1	1	1	1	1	1	6384250	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.61	6384250	6384250	6384250	6384250	6384250	6384250	6384250.0	6357969.6	1	1	1	1
pse_R941.100.fq.seed5.ont	3	3	3	2	1	1	6405632	6405632	6405632	6398564	6383709	6383709	3	6383709	6405632	6410639	66.31	66.40	6383709	6383709	6383709	6383709	6361903.3	6356934.3	1	1	1	1	1	1	6383709	0	0	0	0	2 + 0 part	21923	99.587	1.000	0.00	0.66	7.63	6383709	6383709	6383709	6383709	6383709	6383709	6361861.0	6356892.1	1	1	1	1
