Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ab1_R941.100.fq.seed1.ngs	5	4	3	3	2	2	4186986	4186128	4183257	4183257	4172469	4172469	5	3896812	4186986	3896718	38.95	38.95	3896812	3896812	3896812	3896812	3644926.4	3916438.4	1	1	1	1	2	1	3896812	0	0	0	0	2 + 1 part	286764	99.995	1.001	0.00	0.05	0.33	3894017	3899980	3894017	3894017	3894017	3894017	3621550.7	3891321.4	1	1	1	1
ab1_R941.100.fq.seed1.ont	8	7	3	3	2	2	4195488	4194630	4183058	4183058	4172269	4172269	8	3896632	4195488	3896718	38.96	38.95	3896632	3896632	3896632	3896632	3637209.3	3916082.2	1	1	1	1	2	1	3896632	0	0	0	0	5 + 1 part	295446	99.995	1.001	0.00	0.13	6.13	3893837	3899800	3893837	3893837	3893837	3893837	3613877.7	3890961.7	1	1	1	1
ab1_R941.100.fq.seed2.ngs	5	4	3	3	2	2	4190421	4189751	4186490	4186490	4175702	4175702	5	3900041	4190421	3896718	38.96	38.95	3900041	3900041	3900041	3900041	3647947.6	3922900.3	1	1	1	1	1	1	3900041	0	0	0	0	1 + 2 part	285817	100.000	1.001	0.00	0.46	0.87	3895280	3899843	3895280	3895280	3895280	3895280	3620928.6	3893844.8	1	1	1	1
ab1_R941.100.fq.seed2.ont	7	6	5	5	3	2	4248445	4247775	4244514	4244514	4220349	4175495	7	3899865	4248445	3896718	39.09	38.95	3899865	3899865	3899865	3899865	3598313.5	3923105.9	1	1	1	1	1	1	3899865	0	0	0	0	3 + 2 part	344017	100.000	1.001	0.00	0.54	6.51	3895104	3899667	3895104	3895104	3895104	3895104	3571152.3	3893492.9	1	1	1	1
ab1_R941.100.fq.seed3.ngs	4	4	3	3	2	2	4185803	4185803	4183242	4183242	4172454	4172454	4	3896795	4185803	3896718	38.94	38.95	3896795	3896795	3896795	3896795	3645924.6	3916404.0	1	1	1	1	2	1	3896795	0	0	0	0	2 + 1 part	286456	99.995	1.001	0.00	0.00	0.46	3894000	3899105	3894000	3894000	3894000	3894000	3622542.4	3891287.2	1	1	1	1
ab1_R941.100.fq.seed3.ont	5	4	3	3	2	2	4186451	4185585	4183024	4183024	4172238	4172238	5	3896600	4186451	3896718	38.95	38.95	3896600	3896600	3896600	3896600	3644994.7	3916011.2	1	1	1	1	2	1	3896600	0	0	0	0	3 + 1 part	287299	99.995	1.001	0.00	0.00	6.49	3893805	3898910	3893805	3893805	3893805	3893805	3621619.0	3890897.5	1	1	1	1
ab1_R941.100.fq.seed4.ngs	5	4	3	3	2	2	4191346	4190670	4187321	4187321	4176531	4176531	5	3900871	4191346	3896718	38.96	38.95	3900871	3900871	3900871	3900871	3648687.3	3924561.9	1	1	1	1	2	2	3904220	0	0	0	0	2 + 1 part	284574	100.000	1.003	0.00	0.31	0.46	3900832	3906733	3900832	3900832	3900832	3900832	3630457.3	3904953.5	1	1	1	1
ab1_R941.100.fq.seed4.ont	10	9	6	5	2	2	4228161	4227485	4219041	4210993	4176330	4176330	10	3900698	4228161	3896718	38.98	38.95	3900698	3900698	3900698	3900698	3616681.4	3924305.4	1	1	1	1	2	2	3904047	0	0	0	0	7 + 1 part	321562	100.000	1.003	0.00	0.28	6.37	3900659	3906560	3900659	3900659	3900659	3900659	3598527.3	3904607.1	1	1	1	1
ab1_R941.100.fq.seed5.ngs	6	5	3	3	2	2	4190941	4190292	4183215	4183215	4172425	4172425	6	3896768	4190941	3896718	38.96	38.95	3896768	3896768	3896768	3896768	3641408.8	3916354.6	1	1	1	1	0	0	0	0	0	0	0	3 + 2 part	289406	100.000	1.001	0.00	0.26	0.56	3896729	3901496	3896729	3896729	3896729	3896729	3623174.0	3896742.9	1	1	1	1
ab1_R941.100.fq.seed5.ont	9	8	5	4	2	2	4215489	4214840	4203044	4195974	4172229	4172229	9	3896598	4215489	3896718	38.99	38.95	3896598	3896598	3896598	3896598	3619943.1	3916072.6	1	1	1	1	0	0	0	0	0	0	0	6 + 2 part	314124	100.000	1.001	0.00	0.31	6.56	3896559	3901326	3896559	3896559	3896559	3896559	3601760.9	3896402.9	1	1	1	1
ab1_R941.10.fq.seed1.ngs	4	4	4	4	4	4	4170060	4170060	4170060	4170060	4170060	4170060	4	2941074	4170060	3896718	38.94	38.95	2941074	2941074	902441	902441	2288431.0	2448957.0	1	1	2	2	1	1	902441	0	0	0	0	0 + 1 part	273110	99.844	1.002	0.00	6.11	6.21	2941035	3896862	2941035	2941035	144518	757923	2217620.4	2373179.2	1	1	3	2
ab1_R941.10.fq.seed1.ont	4	4	4	4	4	4	4169602	4169602	4169602	4169602	4169602	4169602	4	2940927	4169602	3896718	38.93	38.95	2940927	2940927	902205	902205	2288365.4	2448617.8	1	1	2	2	1	1	902205	0	0	0	0	0 + 1 part	273058	99.843	1.001	0.00	37.98	77.79	2940888	3896440	2940888	2940888	144470	757719	2217578.6	2372873.8	1	1	3	2
ab1_R941.10.fq.seed2.ngs	3	3	3	3	2	2	4188016	4188016	4188016	4188016	4171587	4171587	3	3895925	4188016	3896718	38.95	38.95	3895925	3895925	3895925	3895925	3642414.7	3914702.3	1	1	1	1	0	0	0	1	0	0	0	1 + 2 part	292052	99.990	1.000	0.00	12.81	11.09	3893412	3895964	3893412	3893412	3893412	3893412	3619533.3	3890110.5	1	1	1	1
ab1_R941.10.fq.seed2.ont	3	3	3	3	2	2	4187970	4187970	4187970	4187970	4171532	4171532	3	3895906	4187970	3896718	38.95	38.95	3895906	3895906	3895906	3895906	3642414.7	3914659.3	1	1	1	1	0	0	0	1	0	0	0	1 + 2 part	292422	99.990	1.000	0.00	35.19	74.75	3892996	3895548	3892996	3892996	3892996	3892996	3618799.6	3889279.2	1	1	1	1
ab1_R941.10.fq.seed3.ngs	12	12	11	11	9	8	4179321	4179321	4176770	4176770	4144567	4100533	12	1029118	4179321	3896718	38.94	38.95	771044	955539	186716	275663	708448.9	759828.0	3	2	7	6	0	0	0	2	0	0	0	1 + 3 part	292215	99.612	1.001	0.07	2.06	3.14	1029071	3887050	771044	949042	179454	186713	687243.5	737084.7	3	2	7	6
ab1_R941.10.fq.seed3.ont	12	12	11	11	9	8	4179982	4179982	4177431	4177431	4144767	4100292	12	1029000	4179982	3896718	38.93	38.95	770923	955538	186704	275624	708251.8	759736.8	3	2	7	6	0	0	0	1	0	0	0	2 + 2 part	295732	99.611	1.001	0.00	27.32	70.29	1028953	3884169	770923	948987	179436	186682	687023.3	736965.1	3	2	7	6
ab1_R941.10.fq.seed4.ngs	6	6	6	5	5	5	4190078	4190078	4190078	4180440	4180440	4180440	6	3302076	4190078	3896718	38.95	38.95	3302076	3302076	275664	293933	2652467.7	2852155.7	1	1	3	2	1	1	3302076	1	0	0	0	0 + 2 part	281643	99.987	1.003	0.00	16.66	11.29	1916232	3907217	1377313	1377313	143377	293933	1361058.6	1463524.3	2	2	5	3
ab1_R941.10.fq.seed4.ont	6	6	6	5	5	5	4189634	4189634	4189634	4180029	4180029	4180029	6	3301794	4189634	3896718	38.95	38.95	3301794	3301794	275627	293894	2652289.7	2851662.1	1	1	3	2	1	1	3301794	1	0	0	0	0 + 2 part	281606	99.987	1.003	0.00	41.49	77.61	1916074	3906807	1377189	1377189	143367	293894	1360966.9	1463270.6	2	2	5	3
