Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
ecoli_R941.100.fq.seed1.ngs	22	20	8	8	6	4	5370526	5369464	5333394	5333394	5301857	5221862	21	4847540	5370081	4868913	50.33	50.55	4847540	4847540	4847540	4847540	4388100.9	4839777.9	1	1	1	1	1	1	4847540	0	0	0	1	16 + 4 part	509027	99.560	1.003	0.00	1.05	0.51	4847540	4861054	4847540	4847540	4847540	4847540	4375847.5	4826263.2	1	1	1	1
ecoli_R941.100.fq.seed1.ont	52	50	31	24	15	6	5974150	5973088	5917137	5871074	5725877	5382625	51	4847229	5973705	4868913	49.42	50.55	4847229	4847229	55677	4847229	3948718.8	4844712.0	1	1	6	1	1	1	4847229	0	0	0	1	46 + 4 part	1112962	99.560	1.003	0.00	1.09	6.30	4847229	4860743	4847229	4847229	-	4847229	3933177.2	4825643.9	1	1	-	1
ecoli_R941.100.fq.seed2.ngs	23	21	12	9	6	4	5351218	5349662	5324238	5300473	5244383	5164393	23	4847548	5351218	4868913	50.34	50.55	4847548	4847548	4847548	4847548	4399487.0	4835291.6	1	1	1	1	1	1	4847548	0	0	0	2	17 + 5 part	491191	99.560	1.003	0.28	1.09	0.70	4847548	4860012	4847548	4847548	4847548	4847548	4391286.6	4826278.9	1	1	1	1
ecoli_R941.100.fq.seed2.ont	50	48	34	25	11	7	5894907	5893355	5851842	5780152	5572533	5433307	50	4847186	5894907	4868913	49.33	50.55	4847186	4847186	66147	4847186	3998324.1	4840864.6	1	1	6	1	1	1	4847186	0	0	0	2	44 + 5 part	1035032	99.560	1.003	0.00	1.07	7.00	4847186	4859875	4847186	4847186	-	4847186	3985681.7	4825558.2	1	1	-	1
ecoli_R941.100.fq.seed3.ngs	23	20	12	11	7	4	5447732	5445350	5422198	5416871	5349183	5235984	23	4847546	5447732	4868913	50.39	50.55	4847546	4847546	238450	4847546	4327062.9	4841466.4	1	1	2	1	1	1	4847546	0	0	0	2	17 + 5 part	581826	99.560	1.004	0.04	1.54	0.82	4847546	4865906	4847546	4847546	-	4847546	4313486.4	4826275.9	1	1	-	1
ecoli_R941.100.fq.seed3.ont	47	44	30	22	11	5	5807352	5804970	5762862	5706918	5538929	5295873	47	4847216	5807352	4868913	49.92	50.55	4847216	4847216	66190	4847216	4060493.4	4843116.8	1	1	4	1	1	1	4847216	0	0	0	2	41 + 5 part	941714	99.560	1.004	0.00	1.60	6.70	4847216	4865638	4847216	4847216	-	4847216	4045823.0	4825618.9	1	1	-	1
ecoli_R941.100.fq.seed4.ngs	23	23	14	10	7	4	5376782	5376782	5351324	5322583	5269797	5160885	23	4847556	5376782	4868913	50.34	50.55	4847556	4847556	4847556	4847556	4378506.0	4835221.4	1	1	1	1	1	1	4847556	0	0	0	2	17 + 5 part	516548	99.556	1.003	0.00	1.09	0.91	4847556	4860234	4847556	4847556	4847556	4847556	4370422.7	4826294.9	1	1	1	1
ecoli_R941.100.fq.seed4.ont	47	47	34	27	14	6	5905823	5905823	5870000	5821238	5618035	5312725	47	4847213	5905823	4868913	49.61	50.55	4847213	4847213	47737	4847213	3989656.1	4839314.8	1	1	7	1	1	1	4847213	0	0	0	2	41 + 5 part	1045918	99.556	1.003	0.00	1.01	6.81	4847213	4859905	4847213	4847213	-	4847213	3978359.1	4825611.9	1	1	-	1
ecoli_R941.100.fq.seed5.ngs	23	22	15	12	7	3	5506553	5506047	5485493	5463371	5373264	5232902	23	4847542	5506553	4868913	50.39	50.55	4847542	4847542	319197	4847542	4287982.5	4849542.9	1	1	2	1	1	1	4847542	0	0	0	1	17 + 5 part	644676	99.556	1.003	0.00	1.17	0.64	4847542	4861877	4847542	4847542	-	4847542	4267402.1	4826267.3	1	1	-	1
ecoli_R941.100.fq.seed5.ont	48	47	34	24	13	4	5945195	5944689	5907740	5829628	5646137	5337296	48	4847208	5945195	4868913	49.48	50.55	4847208	4847208	46154	4847208	3974247.1	4852761.6	1	1	5	1	1	1	4847208	0	0	0	2	42 + 5 part	1082833	99.556	1.003	0.00	1.32	6.83	4847208	4862362	4847208	4847208	-	4847208	3952004.7	4825602.4	1	1	-	1
ecoli_R941.10.fq.seed1.ngs	21	21	19	16	13	11	5280047	5280047	5276002	5250559	5200230	5118980	21	1275919	5280047	4868913	50.42	50.55	856396	856396	242921	305490	799077.3	866551.8	3	3	7	6	2	2	1282147	2	0	0	2	6 + 6 part	427630	99.303	1.004	0.00	4.99	4.27	972967	4852411	856396	856396	242921	303741	659799.4	715513.2	3	3	8	7
ecoli_R941.10.fq.seed1.ont	21	21	19	16	13	11	5280170	5280170	5276119	5250524	5200143	5118802	21	1275758	5280170	4868913	50.43	50.55	856038	856038	243023	305854	798759.8	866227.8	3	3	7	6	1	1	1275758	0	0	0	2	7 + 6 part	436058	99.232	1.003	0.00	31.03	63.38	972731	4844104	856038	856038	243023	302284	662261.1	718199.5	3	3	8	7
ecoli_R941.10.fq.seed2.ngs	29	29	25	23	23	19	5309007	5309007	5296570	5282141	5282141	5144689	29	734783	5309007	4868913	50.37	50.55	506457	550201	82197	133433	462257.2	504039.9	5	4	14	10	1	1	679003	2	0	0	2	7 + 4 part	448336	98.823	1.010	0.00	31.69	28.52	734770	4859848	441060	506048	32637	129871	413718.7	451114.1	5	4	17	11
ecoli_R941.10.fq.seed2.ont	30	30	26	24	24	19	5337800	5337800	5324715	5310316	5310316	5144361	30	734578	5337800	4868913	50.30	50.55	506215	550041	82150	133387	459781.6	504059.6	5	4	14	10	1	1	678983	1	0	0	2	8 + 4 part	477443	98.828	1.010	0.00	60.21	88.60	734565	4859830	440960	505806	32627	129806	411384.4	451001.7	5	4	17	11
ecoli_R941.10.fq.seed3.ngs	23	23	21	18	14	12	5217927	5217927	5213033	5191875	5122241	5048837	23	1163847	5217927	4868913	50.38	50.55	859829	859829	153451	165124	704154.6	754629.9	3	3	9	7	1	1	859829	1	0	0	2	6 + 4 part	374446	99.136	1.003	0.00	8.88	10.24	1163839	4843274	639694	639694	148942	163799	626045.3	670921.6	3	3	10	8
ecoli_R941.10.fq.seed3.ont	24	24	21	18	14	12	5221650	5221650	5213207	5191592	5121982	5047802	24	1163540	5221650	4868913	50.37	50.55	859557	859557	153385	165082	703328.7	754282.6	3	3	9	7	1	1	859557	0	0	0	2	9 + 3 part	404256	98.744	1.002	0.00	28.65	63.90	1163532	4817187	639531	639531	148874	163736	625229.1	670524.9	3	3	10	8
ecoli_R941.10.fq.seed4.ngs	23	22	20	20	15	13	5273946	5273383	5269056	5269056	5177869	5083382	23	1324713	5273946	4868913	50.38	50.55	678708	678708	129064	339775	694600.5	752382.6	3	3	9	7	2	2	954778	0	0	0	2	8 + 3 part	447240	98.871	1.002	0.00	4.04	2.96	1324713	4825324	678650	678650	76017	170041	643830.3	697389.0	3	3	11	9
ecoli_R941.10.fq.seed4.ont	23	22	20	20	15	13	5273251	5272695	5268376	5268376	5177259	5082843	23	1324265	5273251	4868913	50.38	50.55	678431	678431	129581	339692	694364.7	752028.1	3	3	9	7	2	2	954564	0	0	0	2	8 + 3 part	448702	98.871	1.002	0.00	29.90	60.87	1324265	4823158	678371	678371	76000	170132	643582.6	697028.8	3	3	11	9
ecoli_R941.10.fq.seed5.ngs	27	27	25	22	19	14	5333517	5333517	5327066	5303442	5263591	5072075	27	1680137	5333517	4868913	50.38	50.55	561257	863639	123836	161223	824622.5	903310.1	3	2	10	8	1	1	1680137	4	0	0	2	9 + 5 part	481398	99.207	1.004	0.00	15.65	12.68	1514743	4848392	561257	561257	30819	158388	722958.0	791944.5	3	3	13	9
ecoli_R941.10.fq.seed5.ont	27	27	25	22	19	14	5334976	5334976	5328360	5304679	5264693	5073439	27	1680882	5334976	4868913	50.38	50.55	561099	864271	123798	161178	825055.6	904031.7	3	2	10	8	1	1	1680882	1	0	0	2	11 + 4 part	560249	97.808	1.003	0.00	42.54	74.79	1515564	4774607	561099	561099	-	158313	723359.6	792601.1	3	3	-	9
ecoli_R941.110.fq.seed1.ngs	19	19	10	9	5	3	5405023	5405023	5377807	5372800	5309588	5229599	19	4847560	5405023	4868913	50.36	50.55	4847560	4847560	315872	4847560	4367690.8	4848611.8	1	1	2	1	1	1	4847560	0	0	0	2	13 + 5 part	541695	99.560	1.003	0.00	1.30	0.76	4847560	4863328	4847560	4847560	-	4847560	4347595.0	4826303.4	1	1	-	1
ecoli_R941.110.fq.seed1.ont	58	57	43	35	18	5	6247899	6247290	6203844	6144258	5882736	5433410	58	4847214	6247899	4868913	49.12	50.55	4847214	4847214	33821	4847214	3784006.7	4855722.7	1	1	10	1	1	1	4847214	0	0	0	2	52 + 5 part	1384713	99.560	1.003	0.00	1.32	6.56	4847214	4863186	4847214	4847214	-	4847214	3760543.7	4825614.5	1	1	-	1
ecoli_R941.110.fq.seed2.ngs	22	20	7	7	6	3	5414002	5412437	5372322	5372322	5353928	5235859	22	4847554	5414002	4868913	50.35	50.55	4847554	4847554	322097	4847554	4361306.2	4849567.1	1	1	2	1	1	1	4847554	0	0	0	2	17 + 4 part	549836	99.556	1.003	0.00	1.32	0.58	4847552	4864164	4847552	4847552	-	4847552	4340370.5	4826287.6	1	1	-	1
ecoli_R941.110.fq.seed2.ont	61	59	43	37	17	8	6224685	6223120	6176592	6130779	5831971	5532299	61	4847227	6224685	4868913	48.90	50.55	4847227	4847227	43970	4847227	3797423.8	4854834.5	1	1	10	1	1	1	4847227	0	0	0	2	56 + 4 part	1360669	99.556	1.003	0.00	1.38	6.70	4847225	4864014	4847225	4847225	-	4847225	3774585.3	4825636.5	1	1	-	1
ecoli_R941.110.fq.seed3.ngs	23	20	13	12	6	4	5383461	5381378	5354935	5347696	5244346	5164354	22	4847541	5382992	4868913	50.34	50.55	4847541	4847541	4847541	4847541	4373632.1	4835417.4	1	1	1	1	1	1	4847541	0	0	0	3	14 + 7 part	520518	99.556	1.003	0.00	1.36	0.68	4847541	4862474	4847541	4847541	4847541	4847541	4365354.1	4826265.4	1	1	1	1
ecoli_R941.110.fq.seed3.ont	54	51	37	31	12	8	6011974	6009891	5961456	5916841	5593465	5425345	53	4847188	6011505	4868913	49.36	50.55	4847188	4847188	59296	4847188	3920022.4	4839937.4	1	1	8	1	1	1	4847188	0	0	0	3	45 + 7 part	1149163	99.556	1.003	0.00	1.32	7.05	4847188	4862342	4847188	4847188	-	4847188	3908379.7	4825562.6	1	1	-	1
ecoli_R941.110.fq.seed4.ngs	20	20	10	10	7	4	5420979	5420979	5388350	5388350	5333309	5226198	20	4847540	5420979	4868913	50.33	50.55	4847540	4847540	228709	4847540	4347466.3	4840407.5	1	1	2	1	1	1	4847540	0	0	0	1	14 + 5 part	556832	99.556	1.003	0.00	1.34	0.70	4847540	4864147	4847540	4847540	-	4847540	4334762.8	4826263.7	1	1	-	1
ecoli_R941.110.fq.seed4.ont	51	48	37	34	18	7	6167212	6165046	6127676	6108558	5869824	5461627	51	4847186	6167212	4868913	49.23	50.55	4847186	4847186	47521	4847186	3826486.5	4846821.8	1	1	9	1	1	1	4847186	0	0	0	1	45 + 5 part	1303242	99.556	1.003	0.00	1.36	7.07	4847186	4863970	4847186	4847186	-	4847186	3809699.8	4825558.9	1	1	-	1
ecoli_R941.110.fq.seed5.ngs	29	24	15	13	9	4	5440239	5436823	5409965	5397213	5326218	5154120	29	4847543	5440239	4868913	50.33	50.55	4847543	4847543	160601	4847543	4327544.7	4835345.6	1	1	2	1	1	1	4847543	0	0	0	3	22 + 6 part	576729	99.556	1.003	0.00	1.32	0.66	4847543	4863510	4847543	4847543	-	4847543	4319421.8	4826269.6	1	1	-	1
ecoli_R941.110.fq.seed5.ont	57	52	41	36	23	7	6248854	6245441	6214243	6178158	5955307	5390340	57	4847199	6248854	4868913	48.86	50.55	4847199	4847199	37069	4847199	3772971.5	4842302.2	1	1	13	1	1	1	4847199	0	0	0	3	50 + 6 part	1385683	99.556	1.003	0.00	1.34	6.91	4847199	4863171	4847199	4847199	-	4847199	3759945.7	4825584.6	1	1	-	1
