name	ref	coverage	ref_coverage	qstart	qend	rstart	rend	aligned_ref_len	direction	length	read_length	match	ins	del	sub	iden	acc	mapq
bf141d09-40f8-42b7-a896-0feac6eececc	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.16875072828153326	0	10813	4180	14998	10818	-	10818	10813	10813	0	5	0	100.0	99.95378073581068	0
d80699af-4fd5-477c-a83a-f6a49dd6dafb	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.21523595385733	0	13798	7602	21400	13798	+	13799	13798	13797	1	1	1	99.99275204754657	99.97825929415175	0
ba6ecceb-9423-4164-a214-f3456751c958	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.0478111464395359	0	3052	7906	10971	3065	-	3065	3052	3052	0	13	2	99.93446920052425	99.51060358890702	0
09e08bff-e0bc-4f79-b5ae-2c5a69af6c24	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.2290411299092025	0	14674	11979	26662	14683	+	14690	14674	14667	7	16	3	99.97954591941092	99.82300884955752	49
41b20eed-0086-4021-bdd5-3b83c4d6917d	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.10279786461224848	0	6581	12057	18647	6590	+	6590	6581	6581	0	9	0	100.0	99.86342943854325	0
ad6394a2-86dc-4dd3-bfe7-c40356638727	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.12312345149992068	0	7890	12411	20304	7893	+	7893	7890	7890	0	3	1	99.9873257287706	99.94932218421386	0
7794d3a2-f927-45bb-97bc-e0394115c6a0	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.29851938316913496	0	19114	14289	33426	19137	+	19137	19114	19114	0	23	0	100.0	99.87981397293201	60
5367be6f-fb3e-48f9-b9fc-bb21e53c2346	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	63.71308016877637	0.00466412162656484	172	474	18876	19175	299	+	311	474	290	12	9	13	95.51724137931035	89.06752411575563	0
7c7c89d1-0036-446a-8fc1-c9bf96399f5a	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.46953197645351735	0	30081	19875	49975	30100	+	30104	30081	30077	4	23	2	99.99335040063836	99.9036672867393	60
4f16d7b0-4a78-4643-b5e5-d77cb418af74	pseudomonas1_18c53_tig00000001_pilon_pilon_pilon	100.0	0.06880749329357026	0	4410	22679	27090	4411	+	4411	4410	4410	0	1	0	100.0	99.97732940376332	60
