name	ref	coverage	ref_coverage	qstart	qend	rstart	rend	aligned_ref_len	direction	length	read_length	match	ins	del	sub	iden	acc	mapq
aefcd27c-84b9-4cb2-a778-069b3031d106	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	56.22720166753518	0.03796693890940407	840	1919	0	1081	1081	+	1086	1919	1074	5	7	7	99.34823091247672	98.25046040515653	60
a0087693-ef37-448a-bd95-817b1ad45051	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	81.58774863580355	0.16272046990496675	1043	5678	0	4633	4633	+	4644	5681	4624	11	9	8	99.82698961937716	99.39707149009475	60
16a08da2-9895-43f8-8de3-1ee2bd2243ff	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.24234216325151534	0	6915	5	6905	6900	-	6944	6915	6871	44	29	39	99.43239703099985	98.38709677419355	60
8d0d6c24-12e2-41eb-8037-dde9d768699b	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	99.01112484548825	0.14069894289645948	0	4005	432	4438	4006	-	4006	4045	4005	0	1	0	100.0	99.97503744383425	4
7bdf6cff-d376-424b-854b-429e8a490525	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.026938614378827865	0	767	726	1493	767	-	767	767	767	0	0	0	100.0	100.0	0
73471a31-b6ee-441d-8b40-b5af170e2cce	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.5881538935956342	0	16737	918	17664	16746	-	16750	16737	16733	4	13	3	99.9820713560031	99.88059701492537	60
a3887daa-a189-4ee6-b289-ec71418d63ae	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.08123730776822535	0	2304	1081	3394	2313	+	2319	2304	2298	6	15	17	99.26022628372498	98.36136265631738	0
d018d272-a393-4eac-917a-a9f300520f18	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.10670079593595705	0	3037	1271	4309	3038	-	3038	3037	3037	0	1	4	99.86829107672045	99.83541803818302	0
a6e773e6-f459-4cd9-a46c-db1eef021f70	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	98.53281853281854	0.5086726884596662	53	15365	1281	15764	14483	-	16041	15540	13754	1558	729	1482	89.2249527410208	76.50395860607195	60
7a707443-743a-4b2a-ad65-9f6a4147fea4	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.3068964960132958	0	8737	1789	10527	8738	-	8740	8737	8735	2	3	3	99.96565540927304	99.90846681922197	60
730d804a-1ce2-4643-86f2-71139ed60bd3	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	99.5296546977171	0.3048594169598773	41	8717	1842	10522	8680	+	8682	8717	8674	2	6	3	99.96541388056261	99.87330108269984	60
3f109e8c-5c42-4e44-b9c8-c4eb06763cb1	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.03923133280462937	0	1117	2348	3465	1117	-	1117	1117	1117	0	0	0	100.0	100.0	4
216ee707-a54e-4947-94a8-e565ff38a3d3	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.04284890422707952	0	1219	2829	4049	1220	-	1220	1219	1219	0	1	6	99.50779327317473	99.42622950819673	0
597c79df-439e-45be-a6c0-1ceac70a171b	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.16106973343064485	0	4586	3665	8251	4586	+	4591	4586	4581	5	5	9	99.80353634577604	99.58614680897408	60
e69162ab-5455-4dc7-95ab-0c3b3e0716b0	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.07983242566241948	0	2274	3719	5992	2273	-	2274	2274	2273	1	0	1	99.95600527936648	99.91204925241864	60
06b4fbb3-9a4f-4d4e-8519-e7608887832e	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	25.321252059308073	0.05447430365262323	321	1858	3969	5520	1551	-	1586	6070	1502	35	49	269	82.09054593874833	77.74274905422446	0
e483be83-beeb-49bc-9b2e-6330117541ae	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.13388526468330095	0	3810	4708	8520	3812	-	3812	3810	3810	0	2	1	99.9737532808399	99.92130115424973	60
2bfcff89-4ce1-4a57-b2fa-950e944e5b95	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.055071378547590734	0	1567	5104	6672	1568	+	1568	1567	1567	0	1	0	100.0	99.93622448979592	60
36425886-4894-43c3-96b6-4e1fbc05c88e	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.0973583299323479	0	2772	5400	8172	2772	-	2772	2772	2772	0	0	0	100.0	100.0	60
d84fdf90-e1b2-4044-8087-af5e7794a56e	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.10831641035763381	0	3081	5464	8548	3084	-	3084	3081	3081	0	3	0	100.0	99.90272373540856	60
298e55af-aedf-4d1e-bb65-19ef9f289b32	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.01949273921805667	0	555	5523	6078	555	+	555	555	555	0	0	1	99.81981981981981	99.81981981981981	60
1c24ec9b-cecb-469d-9957-542dbdfe1981	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.2875442450058197	0	8186	5680	13867	8187	-	8187	8186	8186	0	1	0	100.0	99.98778551361916	60
eb86e585-1a22-44a2-923f-aa63bc002955	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.19728056970779154	0	5615	5811	11428	5617	-	5617	5615	5615	0	2	3	99.94657168299199	99.91098451130496	60
4e225b26-d1e3-4e7d-8548-3ec6de358ee1	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.056616748863977204	0	1612	6073	7685	1612	-	1612	1612	1612	0	0	0	100.0	100.0	60
1679f9d2-49a5-45b4-8933-78a965972d15	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.044218664280240266	0	1259	6107	7366	1259	-	1259	1259	1259	0	0	0	100.0	100.0	60
0f819825-30c8-42ea-b7d9-2ba2c7561f8b	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.190466891494633	0	5423	6201	11624	5423	+	5423	5423	5423	0	0	1	99.98156002212798	99.98156002212798	60
eb256a9c-a6fd-4729-864c-c073a81a640b	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	88.54961832061069	0.04077670312101584	0	1160	6282	7443	1161	-	1173	1310	1148	12	13	23	97.99651567944251	95.9079283887468	60
37f45999-e2fe-4062-b5fd-9f04b9f28b4d	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.03722937580385598	0	1060	7313	8373	1060	-	1060	1060	1060	0	0	1	99.90566037735849	99.90566037735849	60
a7cda102-0f9f-4886-90f0-5d752de4b659	S_aureus1_mrsa11_contig_37_pilon_pilon_pilon	100.0	0.01840395558605711	0	524	7455	7979	524	+	524	524	524	0	0	0	100.0	100.0	60
