Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
e4_R941.100.fq.seed1.ngs	7	7	7	5	4	3	3092894	3092894	3092894	3075905	3061746	3016920	7	2786360	3092894	2785439	37.74	38.03	2786360	2786360	2786360	2786360	2520767.0	2799007.7	1	1	1	1	0	0	0	2	0	0	4	1 + 6 part	268109	99.999	1.014	0.00	1.49	1.03	2785429	2824789	2785429	2785429	2785429	2785429	2508549.5	2785441.6	1	1	1	1
e4_R941.100.fq.seed1.ont	7	7	7	5	4	3	3092520	3092520	3092520	3075534	3061380	3016563	7	2786034	3092520	2785439	37.75	38.03	2786034	2786034	2786034	2786034	2520481.1	2798351.8	1	1	1	1	0	0	0	2	0	0	4	1 + 6 part	268061	99.999	1.014	0.00	1.52	12.04	2785103	2824463	2785103	2785103	2785103	2785103	2508265.6	2784789.6	1	1	1	1
e4_R941.100.fq.seed2.ngs	7	7	7	6	4	2	3066177	3066177	3066177	3057249	3026961	2944862	7	2786392	3066177	2785439	37.76	38.03	2786392	2786392	2786392	2786392	2541612.0	2797775.2	1	1	1	1	0	0	0	2	0	0	5	1 + 6 part	242332	100.000	1.014	0.00	1.17	1.03	2785468	2823847	2785468	2785468	2785468	2785468	2530478.7	2785519.9	1	1	1	1
e4_R941.100.fq.seed2.ont	7	7	7	6	4	2	3065772	3065772	3065772	3056844	3026564	2944479	7	2786032	3065772	2785439	37.76	38.03	2786032	2786032	2786032	2786032	2541290.5	2797051.9	1	1	1	1	0	0	0	2	0	0	5	1 + 6 part	242289	100.000	1.014	0.00	1.24	12.18	2785109	2823485	2785109	2785109	2785109	2785109	2530160.7	2784801.9	1	1	1	1
e4_R941.100.fq.seed3.ngs	7	7	7	5	4	2	3065163	3065163	3065163	3048182	3026944	2944838	7	2786367	3065163	2785439	37.76	38.03	2786367	2786367	2786367	2786367	2542425.6	2797745.3	1	1	1	1	0	0	0	2	0	0	4	1 + 6 part	241350	100.000	1.014	0.00	1.17	0.78	2785443	2823815	2785443	2785443	2785443	2785443	2531270.4	2785469.9	1	1	1	1
e4_R941.100.fq.seed3.ont	8	8	7	5	4	2	3068990	3068990	3064809	3047830	3026598	2944506	8	2786058	3068990	2785439	37.78	38.03	2786058	2786058	2786058	2786058	2538697.0	2797130.3	1	1	1	1	0	0	0	2	0	0	4	2 + 6 part	245487	100.000	1.014	0.00	1.24	11.62	2785134	2823505	2785134	2785134	2785134	2785134	2527553.1	2784851.9	1	1	1	1
e4_R941.100.fq.seed4.ngs	7	7	6	6	4	2	3061687	3061687	3057223	3057223	3026934	2944834	7	2786366	3061687	2785439	37.77	38.03	2786366	2786366	2786366	2786366	2545272.2	2797701.5	1	1	1	1	0	0	0	0	0	0	5	1 + 5 part	236949	99.783	1.013	0.03	1.46	0.82	2776146	2814520	2776146	2776146	2776146	2776146	2517255.5	2766906.2	1	1	1	1
e4_R941.100.fq.seed4.ont	8	8	7	7	5	2	3109121	3109121	3104658	3104658	3074379	2944461	8	2786020	3109121	2785439	37.99	38.03	2786020	2786020	158441	2786020	2506553.0	2797827.1	1	1	2	1	0	0	0	0	0	0	5	2 + 5 part	284730	99.734	1.013	0.00	1.14	12.40	2775801	2814174	2775801	2775801	1368	2775801	2478235.2	2766218.6	1	1	13	1
e4_R941.100.fq.seed5.ngs	8	8	7	6	4	2	3085144	3085144	3081280	3072360	3026938	2944834	8	2786368	3085144	2785439	37.75	38.03	2786368	2786368	2786368	2786368	2526134.1	2797938.7	1	1	1	1	0	0	0	2	0	0	5	2 + 6 part	257533	100.000	1.015	0.00	1.27	1.20	2785432	2827606	2785432	2785432	2785432	2785432	2514859.1	2785450.5	1	1	1	1
e4_R941.100.fq.seed5.ont	10	10	8	7	4	2	3112479	3112479	3105574	3096656	3026566	2944478	10	2786035	3112479	2785439	37.73	38.03	2786035	2786035	158443	2786035	2503548.2	2797491.2	1	1	2	1	0	0	0	2	0	0	5	4 + 6 part	285201	100.000	1.015	0.00	1.31	11.95	2785100	2827273	2785100	2785100	1896	2785100	2492178.4	2784786.5	1	1	9	1
