Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
sal2_R941.100.fq.seed1.ngs	5	5	5	5	5	4	5302616	5302616	5302616	5302616	5302616	5276786	5	4212028	5302616	5019577	52.17	52.17	4212028	4212028	796288	796288	3472666.2	3668479.5	1	1	2	2	0	0	0	0	0	0	2	0 + 2 part	256108	99.888	1.006	0.00	1.17	1.35	4212028	5046508	4212028	4212028	796288	796288	3465448.1	3660854.4	1	1	2	2
sal2_R941.100.fq.seed1.ont	11	11	11	11	7	4	5424450	5424450	5424450	5424450	5359812	5276794	11	4211690	5424450	5019577	51.95	52.17	4211690	4211690	796223	796223	3394651.8	3668460.3	1	1	2	2	0	0	0	0	0	0	2	6 + 2 part	377529	99.888	1.007	0.00	0.95	8.50	4211690	5046921	4211690	4211690	796223	796223	3387069.7	3660266.7	1	1	2	2
sal2_R941.100.fq.seed2.ngs	4	4	4	4	4	3	5201967	5201967	5201967	5201967	5201967	5176140	4	4212034	5201967	5019577	52.19	52.17	4212034	4212034	796289	796289	3537918.7	3666471.5	1	1	2	2	0	0	0	0	0	0	1	0 + 1 part	161133	99.888	1.005	0.00	0.77	1.21	4212034	5040834	4212034	4212034	796289	796289	3532507.6	3660863.8	1	1	2	2
sal2_R941.100.fq.seed2.ont	10	10	10	9	4	3	5283240	5283240	5283240	5273384	5201507	5175680	10	4211670	5283240	5019577	51.95	52.17	4211670	4211670	796217	796217	3483113.8	3666071.1	1	1	2	2	0	0	0	0	0	0	1	6 + 1 part	242842	99.888	1.005	0.00	0.52	8.57	4211670	5040398	4211670	4211670	796217	796217	3477564.3	3660230.1	1	1	2	2
sal2_R941.100.fq.seed3.ngs	5	5	5	5	5	4	5264012	5264012	5264012	5264012	5264012	5238184	5	4212035	5264012	5019577	52.17	52.17	4212035	4212035	796102	796102	3496899.2	3667185.3	1	1	2	2	0	0	0	0	0	0	2	0 + 2 part	220086	99.888	1.006	0.00	0.87	1.05	4212035	5043926	4212035	4212035	796102	796102	3490816.7	3660806.7	1	1	2	2
sal2_R941.100.fq.seed3.ont	10	10	10	9	6	4	5342565	5342565	5342565	5332711	5291206	5238330	10	4211661	5342565	5019577	51.98	52.17	4211661	4211661	796233	796233	3445203.8	3666887.7	1	1	2	2	0	0	0	0	0	0	2	5 + 2 part	298877	99.888	1.006	0.00	0.99	8.80	4211661	5043688	4211661	4211661	796233	796233	3438939.8	3660220.6	1	1	2	2
sal2_R941.100.fq.seed4.ngs	5	5	5	5	5	4	5308455	5308455	5308455	5308455	5308455	5282636	5	4212024	5308455	5019577	52.17	52.17	4212024	4212024	796314	796314	3469075.2	3668721.4	1	1	2	2	0	0	0	0	0	0	2	0 + 2 part	261116	99.888	1.007	0.00	0.71	1.41	4212024	5047339	4212024	4212024	796314	796314	3461637.8	3660855.9	1	1	2	2
sal2_R941.100.fq.seed4.ont	9	9	9	8	7	4	5385962	5385962	5385962	5378891	5364573	5283071	9	4211682	5385962	5019577	52.01	52.17	4211682	4211682	796250	796250	3418967.8	3668522.4	1	1	2	2	0	0	0	0	0	0	2	4 + 2 part	339030	99.888	1.007	0.00	0.71	8.60	4211682	5046932	4211682	4211682	796250	796250	3411269.1	3660261.7	1	1	2	2
sal2_R941.100.fq.seed5.ngs	5	5	5	5	5	4	5274863	5274863	5274863	5274863	5274863	5249034	5	4212035	5274863	5019577	52.20	52.17	4212035	4212035	796293	796293	3490036.5	3667533.0	1	1	2	2	0	0	0	0	0	0	2	0 + 2 part	229977	99.888	1.006	0.00	0.57	1.45	4212035	5044886	4212035	4212035	796293	796293	3483693.5	3660867.4	1	1	2	2
sal2_R941.100.fq.seed5.ont	16	16	16	13	9	4	5504968	5504968	5504968	5484659	5407261	5248584	16	4211682	5504968	5019577	51.54	52.17	4211682	4211682	796219	796219	3344715.2	3668147.8	1	1	2	2	0	0	0	0	0	0	2	11 + 2 part	460510	99.888	1.006	0.00	0.50	8.60	4211682	5044458	4211682	4211682	796219	796219	3337515.2	3660251.6	1	1	2	2
