name	ref	coverage	ref_coverage	qstart	qend	rstart	rend	aligned_ref_len	direction	length	read_length	match	ins	del	sub	iden	acc	mapq
25bf9a19-7fc2-4133-99d5-b7f4d6bc3de2	ab1_chrom_pilon_pilon_pilon	81.30618720253834	0.23719961259706246	2121	11346	0	9243	9243	+	9247	11346	9221	4	22	2	99.9783103784839	99.69719909159727	60
d419c32c-91e5-4ca3-b3a5-8ff873a02154	ab1_chrom_pilon_pilon_pilon	91.68458781362007	0.3942548575493531	1392	16740	0	15363	15363	+	15367	16740	15344	4	19	2	99.98696558915537	99.83731372421423	60
1349c534-59e9-4ed4-8772-5f70594d4ee8	ab1_chrom_pilon_pilon_pilon	97.10727720845765	0.19208472360586523	223	7709	0	7485	7485	+	7490	7709	7481	5	4	1	99.98663280310119	99.86648865153538	60
74f5b453-32aa-4cfc-8840-c08b470fed7a	ab1_chrom_pilon_pilon_pilon	81.50719444599966	0.37354512181789906	3303	17861	0	14556	14556	+	14559	17861	14555	3	1	0	100.0	99.97252558554845	60
f6279f72-59db-4d31-bbb3-3b7e3be72dde	ab1_chrom_pilon_pilon_pilon	79.18956498708866	0.30702760630869363	3143	15103	0	11964	11964	-	11970	15103	11954	6	10	1	99.9916345992973	99.85797827903092	60
5e82188e-7a19-4fad-b215-9cdffb0269c0	ab1_chrom_pilon_pilon_pilon	79.7171035556709	0.315419283612517	3119	15405	0	12291	12291	-	12311	15412	12266	20	25	17	99.86140551116908	99.49638534643815	60
4ce495b5-d960-4322-b452-e3d365c8288c	ab1_chrom_pilon_pilon_pilon	97.61478831246274	0.6304023026557221	600	25155	0	24565	24565	-	24572	25155	24548	7	17	1	99.99592634837869	99.89825818004232	60
6ecc9f3c-c494-4e4a-b56a-22157deb5c9b	ab1_chrom_pilon_pilon_pilon	100.0	0.27733595297375896	0	10808	778	11585	10807	-	10810	10808	10805	3	2	0	100.0	99.95374653098982	60
bde6f437-6175-4897-8f36-a68006c5cac2	ab1_chrom_pilon_pilon_pilon	100.0	0.31716434188976467	0	12358	2302	14661	12359	-	12363	12358	12354	4	5	2	99.98381091144569	99.91102483216048	60
9dc2fbef-47f0-4f53-ae90-1dd3184ccb1b	ab1_chrom_pilon_pilon_pilon	100.0	0.11312083656040801	0	4411	2577	6985	4408	-	4412	4411	4407	4	1	0	100.0	99.88667271078876	60
5b5062b0-5b64-48a5-913b-78dcd409cffa	ab1_chrom_pilon_pilon_pilon	100.0	0.012779985618666785	0	498	2850	3348	498	+	498	498	498	0	0	0	100.0	100.0	0
66449f85-fa83-4fbd-be31-f55bd3c9f911	ab1_chrom_pilon_pilon_pilon	100.0	0.026175874158715102	0	1020	3680	4700	1020	-	1020	1020	1020	0	0	0	100.0	100.0	0
fce651c9-d097-4134-aa03-c5b9940ac27d	ab1_chrom_pilon_pilon_pilon	100.0	0.18602834487894684	0	7250	5031	12280	7249	-	7250	7250	7249	1	0	2	99.9724099875845	99.95862068965518	60
947db9b4-f60d-45c8-85d4-d08fbf963363	ab1_chrom_pilon_pilon_pilon	100.0	0.08086292105305029	0	3151	5182	8333	3151	-	3151	3151	3151	0	0	0	100.0	100.0	60
8293f06e-25f4-4572-90b2-bb521eaf78ca	ab1_chrom_pilon_pilon_pilon	100.0	0.3803713791965444	0	14819	5390	20212	14822	-	14822	14819	14819	0	3	0	100.0	99.97975981648901	60
e94aab04-93cd-41ad-ab01-e5c5337abed0	ab1_chrom_pilon_pilon_pilon	96.37860082304526	0.030050930039073907	44	1215	5446	6617	1171	+	1171	1215	1171	0	0	0	100.0	100.0	60
c5044604-627a-4e5e-b693-350e6c670e34	ab1_chrom_pilon_pilon_pilon	95.11278195488721	0.02615021153699087	52	1064	5586	6605	1019	+	1019	1064	1012	0	7	0	100.0	99.31305201177625	60
c88dac4c-4de9-49ab-8c21-d09dee6dd1fc	ab1_chrom_pilon_pilon_pilon	100.0	0.0446016365567126	0	1738	5731	7469	1738	+	1738	1738	1738	0	0	0	100.0	100.0	60
d96711b4-e0a0-48c9-9453-d8f4614965a1_1	ab1_chrom_pilon_pilon_pilon	100.0	0.3704656072109914	0	14432	6261	20697	14436	+	14438	14432	14430	2	6	3	99.97920997920998	99.92381216234935	60
c90922ab-01e1-41ea-8878-da06ba89c7f1	ab1_chrom_pilon_pilon_pilon	100.0	0.02494406831595204	0	972	6406	7378	972	-	972	972	972	0	0	0	100.0	100.0	60
b02596bc-691b-42d5-925d-3f1fdd0ca0c1	ab1_chrom_pilon_pilon_pilon	100.0	0.029255388765622763	0	1140	6644	7784	1140	-	1140	1140	1140	0	0	0	100.0	100.0	60
1eba2ae6-ffd5-43c9-881d-f4cc73a44fb4	ab1_chrom_pilon_pilon_pilon	100.0	0.04860500554569255	0	1894	6720	8614	1894	-	1894	1894	1894	0	0	0	100.0	100.0	60
d3e45bcf-779c-49ad-bf0d-4156c79bbfa5	ab1_chrom_pilon_pilon_pilon	100.0	0.01709130606833751	0	666	7246	7912	666	+	666	666	666	0	0	0	100.0	100.0	60
4bfe65a5-5f04-4f45-8d31-7f4f99636e20	ab1_chrom_pilon_pilon_pilon	96.3963963963964	0.03020490576941929	0	1177	8044	9221	1177	-	1177	1221	1177	0	0	0	100.0	100.0	60
bdabf74a-0ecb-4531-bd37-5992f5ad35e6	ab1_chrom_pilon_pilon_pilon	100.0	0.37498222863445596	0	14610	8947	23559	14612	-	14612	14610	14610	0	2	0	100.0	99.98631261976458	60
d01b701b-64fd-4fd1-95e1-67f07a125d98	ab1_chrom_pilon_pilon_pilon	98.42980295566502	0.08204340165236489	0	3197	9281	12478	3197	-	3198	3248	3196	1	1	0	100.0	99.93746091307067	60
e04c1243-c2ba-43ae-8a7b-39d238f968d8	ab1_chrom_pilon_pilon_pilon	100.0	0.05987089648262974	0	2333	10196	12529	2333	-	2333	2333	2333	0	0	0	100.0	100.0	60
ae83fae4-8e1e-4f7e-ba35-d0f93fd8ed81_1	ab1_chrom_pilon_pilon_pilon	100.0	0.19798712660243825	0	7714	12982	20697	7715	+	7716	7714	7713	1	2	0	100.0	99.96111975116641	60
b122cadd-702a-4487-8f4b-f4acc94564af	ab1_chrom_pilon_pilon_pilon	98.92703862660944	0.01252335940142448	0	461	13515	14003	488	-	503	466	446	15	42	19	95.73991031390135	84.8906560636183	60
e62bc728-2f01-488f-90c1-f9a0dda6f599_1	ab1_chrom_pilon_pilon_pilon	100.0	0.178252570496505	0	6944	13751	20697	6946	+	6946	6944	6944	0	2	1	99.98559907834101	99.95680967463288	60
f1bf8515-3869-4b38-b405-19ece99e8c8f	ab1_chrom_pilon_pilon_pilon	100.0	0.17070775970958124	0	6642	15404	22056	6652	-	6652	6642	6642	0	10	1	99.98494429388738	99.8346361996392	60
6374314e-839f-4ccb-ab0c-0e7cce14e593	ab1_chrom_pilon_pilon_pilon	100.0	0.2343767242073971	0	9132	17447	26580	9133	-	9133	9132	9132	0	1	1	99.98904949627683	99.9781013905617	60
600ba38b-ea1a-413e-b3de-b064b6a0d72d_1	ab1_chrom_pilon_pilon_pilon	100.0	0.05389150562088404	0	2099	18597	20697	2100	+	2100	2099	2099	0	1	0	100.0	99.95238095238095	60
1b077fcb-17f5-441d-9111-9f82bff5e5c8	ab1_chrom_pilon_pilon_pilon	100.0	0.031898638803218506	0	1243	19707	20950	1243	-	1243	1243	1243	0	0	0	100.0	100.0	60
