Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
sau_R941.100.fq.seed1.ngs	2	2	2	2	2	1	2873789	2873789	2873789	2873789	2873789	2847216	2	2847216	2873789	2847214	32.80	32.83	2847216	2847216	2847216	2847216	2821134.4	2847466.0	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	24626	100.000	1.001	0.00	0.00	0.35	2847215	2849162	2847215	2847215	2847215	2847215	2820888.0	2847217.3	1	1	1	1
sau_R941.100.fq.seed1.ont	12	12	10	8	5	2	3183022	3183022	3179214	3163350	3115520	3012846	12	2847108	3183022	2847214	33.41	32.83	2847108	2847108	165738	2847108	2556705.0	2858249.6	1	1	2	1	0	0	0	0	0	0	0	10 + 1 part	333967	100.000	1.001	0.00	0.56	3.83	2847107	2849054	2847107	2847107	-	2847107	2546643.4	2847001.3	1	1	-	1
sau_R941.100.fq.seed2.ngs	3	3	3	3	3	1	2901560	2901560	2901560	2901560	2901560	2847214	3	2847214	2901560	2847214	32.80	32.83	2847214	2847214	2847214	2847214	2794395.1	2847732.9	1	1	1	1	0	0	0	0	0	0	1	1 + 1 part	52399	100.000	1.001	0.00	0.00	0.46	2847213	2849160	2847213	2847213	2847213	2847213	2793884.6	2847212.7	1	1	1	1
sau_R941.100.fq.seed2.ont	20	20	17	12	8	2	3208924	3208924	3199418	3160925	3094390	2909338	20	2847111	3208924	2847214	33.75	32.83	2847111	2847111	62227	2847111	2529591.7	2850950.9	1	1	2	1	0	0	0	0	0	0	1	18 + 1 part	359866	100.000	1.001	0.00	0.32	3.79	2847110	2849057	2847110	2847110	-	2847110	2526092.0	2847006.7	1	1	-	1
sau_R941.100.fq.seed3.ngs	2	2	2	2	2	1	2873789	2873789	2873789	2873789	2873789	2847216	2	2847216	2873789	2847214	32.80	32.83	2847216	2847216	2847216	2847216	2821134.4	2847466.0	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	24627	100.000	1.001	0.00	0.04	0.70	2847212	2849158	2847212	2847212	2847212	2847212	2820882.1	2847211.3	1	1	1	1
sau_R941.100.fq.seed3.ont	16	16	15	9	7	2	3163383	3163383	3160779	3117555	3073877	2909377	16	2847099	3163383	2847214	33.73	32.83	2847099	2847099	2847099	2847099	2565847.9	2850772.6	1	1	1	1	0	0	0	0	0	0	0	14 + 1 part	314338	100.000	1.001	0.00	0.49	4.32	2847095	2849041	2847095	2847095	2847095	2847095	2562432.0	2846977.3	1	1	1	1
sau_R941.100.fq.seed4.ngs	2	2	2	2	2	1	2873806	2873806	2873806	2873806	2873806	2847233	2	2847233	2873806	2847214	32.80	32.83	2847233	2847233	2847233	2847233	2821151.4	2847500.0	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	24626	100.000	1.001	0.00	0.00	0.60	2847232	2849179	2847232	2847232	2847232	2847232	2820905.0	2847251.3	1	1	1	1
sau_R941.100.fq.seed4.ont	13	13	13	10	5	2	3094667	3094667	3094667	3073934	3002964	2909476	13	2847104	3094667	2847214	33.46	32.83	2847104	2847104	2847104	2847104	2621975.4	2849852.8	1	1	1	1	0	0	0	0	0	0	0	11 + 1 part	245616	100.000	1.001	0.00	0.56	4.53	2847103	2849050	2847103	2847103	2847103	2847103	2619344.6	2846993.3	1	1	1	1
sau_R941.100.fq.seed5.ngs	3	2	2	2	2	1	2874575	2873788	2873788	2873788	2873788	2847216	3	2847216	2874575	2847214	32.80	32.83	2847216	2847216	2847216	2847216	2820363.2	2847466.2	1	1	1	1	0	0	0	0	0	0	0	1 + 1 part	25413	99.802	1.001	0.00	0.00	0.39	2841589	2843535	2841589	2841589	2841589	2841589	2808982.8	2835976.4	1	1	1	1
sau_R941.100.fq.seed5.ont	17	16	15	12	8	4	3258981	3258194	3255592	3234414	3172190	3054863	17	2847096	3258981	2847214	33.73	32.83	2847096	2847096	92827	2847096	2493402.2	2854000.6	1	1	2	1	0	0	0	0	0	0	0	15 + 1 part	409939	99.802	1.001	0.00	0.39	4.50	2841469	2843415	2841469	2841469	-	2841469	2477446.1	2835736.9	1	1	-	1
sau_R941.10.fq.seed1.ngs	10	10	10	10	8	6	2924211	2924211	2924211	2924211	2882430	2821410	10	1359566	2924211	2847214	32.79	32.83	480424	480424	203609	203609	807439.0	829274.5	2	2	5	5	0	0	0	0	0	0	0	1 + 3 part	134359	97.130	1.009	0.00	29.14	24.66	1359564	2789833	480424	480424	104932	112697	797234.8	818794.4	2	2	6	5
sau_R941.10.fq.seed1.ont	10	10	10	10	8	6	2923775	2923775	2923775	2923775	2882007	2821058	10	1359364	2923775	2847214	32.77	32.83	480522	480522	203501	203501	807355.3	829064.9	2	2	5	5	0	0	0	0	0	0	0	1 + 3 part	134255	97.130	1.009	0.00	64.92	94.60	1359356	2789495	480522	480522	104928	112642	797155.7	818591.1	2	2	6	5
sau_R941.10.fq.seed2.ngs	14	14	12	12	11	10	2882759	2882759	2877518	2877518	2864871	2838295	14	1130214	2882759	2847214	32.81	32.83	356308	356308	110361	110361	586642.2	593965.9	2	2	8	8	0	0	0	0	0	0	0	0 + 3 part	40838	99.402	1.004	0.00	9.18	12.46	1130213	2841604	356308	356308	110361	110361	583465.0	590749.1	2	2	8	8
sau_R941.10.fq.seed2.ont	14	14	12	12	11	10	2882812	2882812	2877582	2877582	2864773	2838202	14	1130061	2882812	2847214	32.80	32.83	356235	356235	110294	110294	586573.0	593906.8	2	2	8	8	0	0	0	0	0	0	0	0 + 2 part	29675	99.401	1.008	0.00	57.59	101.93	1130060	2853058	356235	356235	110294	110294	585951.0	593277.0	2	2	8	8
sau_R941.10.fq.seed3.ngs	7	7	7	7	7	5	2863122	2863122	2863122	2863122	2863122	2806902	7	977388	2863122	2847214	32.78	32.83	923492	923492	212293	212293	781400.3	785766.1	2	2	4	4	0	0	0	1	0	0	0	0 + 1 part	24626	99.373	1.002	0.00	6.95	6.35	977388	2833607	923386	923386	212234	212234	779100.5	783453.5	2	2	4	4
sau_R941.10.fq.seed3.ont	7	7	7	7	7	5	2862895	2862895	2862895	2862895	2862895	2806689	7	977315	2862895	2847214	32.77	32.83	923402	923402	212258	212258	781326.4	785629.6	2	2	4	4	0	0	0	0	0	0	0	0 + 1 part	24624	99.384	1.001	0.00	34.38	65.68	977315	2833342	923296	923296	212199	212199	779002.7	783293.1	2	2	4	4
sau_R941.10.fq.seed4.ngs	8	8	8	8	8	6	2869738	2869738	2869738	2869738	2869738	2816242	8	1418580	2869738	2847214	32.80	32.83	892458	892458	89903	254872	1009256.0	1017240.1	2	2	4	3	0	0	0	0	0	0	0	0 + 2 part	27524	99.445	1.003	0.03	13.09	8.73	1417931	2841023	892289	892289	89530	254872	1008189.9	1016165.6	2	2	4	3
sau_R941.10.fq.seed4.ont	8	8	8	8	8	6	2869555	2869555	2869555	2869555	2869555	2816068	8	1418556	2869555	2847214	32.78	32.83	892247	892247	90126	254833	1009165.4	1017083.9	2	2	4	3	0	0	0	0	0	0	0	0 + 2 part	27520	99.443	1.003	0.00	39.88	70.32	1417907	2841156	892032	892032	90111	254833	1008093.2	1016003.3	2	2	4	3
sau_R941.10.fq.seed5.ngs	4	4	4	3	3	2	2883372	2883372	2883372	2873584	2873584	2847009	4	1924722	2883372	2847214	32.79	32.83	1924722	1924722	922287	922287	1580084.1	1600150.2	1	1	2	2	0	0	0	0	0	0	0	1 + 1 part	34415	99.997	1.001	0.00	1.68	2.88	1924721	2848956	1924721	1924721	922287	922287	1579805.9	1599868.5	1	1	2	2
sau_R941.10.fq.seed5.ont	4	4	4	3	3	2	2882950	2882950	2882950	2873163	2873163	2846598	4	1924516	2882950	2847214	32.78	32.83	1924516	1924516	922082	922082	1579909.0	1599738.7	1	1	2	2	0	0	0	0	0	0	0	1 + 1 part	34405	99.997	1.000	0.00	27.91	59.89	1924515	2848544	1924515	1924515	922082	922082	1579630.9	1599457.2	1	1	2	2
sau_R941.110.fq.seed1.ngs	2	2	2	2	2	1	2873791	2873791	2873791	2873791	2873791	2847219	2	2847219	2873791	2847214	32.80	32.83	2847219	2847219	2847219	2847219	2821138.4	2847472.0	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	24626	99.802	1.001	0.00	0.00	0.53	2841593	2843539	2841593	2841593	2841593	2841593	2809757.1	2835984.4	1	1	1	1
