name	ref	coverage	ref_coverage	qstart	qend	rstart	rend	aligned_ref_len	direction	length	read_length	match	ins	del	sub	iden	acc	mapq
b7102aa4-1edf-468a-aad8-38c9874ce135	sal2_1_pilon_pilon_pilon	73.84233114976281	0.06516485353247893	1158	4427	0	3271	3271	+	3271	4427	3269	0	2	1	99.96940960538392	99.90828492815653	60
910836b9-a4e2-46b7-b929-35433939968f	sal2_1_pilon_pilon_pilon	67.97293847332142	0.42463737482261954	10036	31336	0	21315	21315	+	21315	31336	21300	0	15	0	100.0	99.92962702322308	60
90e51184-b6fd-4f82-8c79-af5714026944	sal2_1_pilon_pilon_pilon	83.57136441210815	0.18547379589953497	1829	11133	0	9310	9310	+	9310	11133	9304	0	6	0	100.0	99.93555316863588	60
61ee886c-9af5-4ac6-abd3-dd9746397670	sal2_1_pilon_pilon_pilon	65.15493162641839	0.3570221156085463	9581	27496	0	17921	17921	-	17921	27496	17915	0	6	0	100.0	99.96651972546175	60
d006aa18-c873-4be7-bda5-b8b56c63caec	sal2_1_pilon_pilon_pilon	98.64555769834507	0.43822417705715044	302	22297	0	21997	21997	-	21999	22297	21993	2	4	0	100.0	99.9727260330015	60
7dbe1bf0-50aa-4fde-a15a-7072f6681ef1	sal2_1_pilon_pilon_pilon	100.0	0.04892842564224037	0	2453	899	3355	2456	-	2456	2453	2453	0	3	0	100.0	99.87785016286645	60
53f8cd05-018b-488e-a0a0-867caf401e9a	sal2_1_pilon_pilon_pilon	100.0	0.020619267320732406	0	1035	2647	3682	1035	-	1035	1035	1035	0	0	0	100.0	100.0	60
8f1d12d1-8daa-4b7c-a627-81d0ce219cf6	sal2_1_pilon_pilon_pilon	100.0	0.14278095544704264	0	7161	3974	11141	7167	+	7168	7161	7160	1	7	0	100.0	99.88839285714286	60
6db2acab-63eb-4ffd-94b1-d013e59f9e54	sal2_1_pilon_pilon_pilon	100.0	0.024324758839240835	0	1219	4237	5458	1221	+	1222	1219	1218	1	3	11	99.0968801313629	98.77250409165303	60
e2646606-1d1b-4220-af39-cc0c9ac8bc1e	sal2_1_pilon_pilon_pilon	100.0	0.048808893657772356	0	2450	6183	8633	2450	-	2450	2450	2450	0	0	0	100.0	100.0	60
81c2fca3-611a-4557-9622-af805bf792c5	sal2_1_pilon_pilon_pilon	100.0	0.005677769262230662	0	285	8912	9197	285	+	285	285	285	0	0	0	100.0	100.0	60
42408111-e2e6-41bf-8382-fb7a95c8de94	sal2_1_pilon_pilon_pilon	100.0	0.03494318345948274	0	1751	9757	11511	1754	-	1754	1751	1751	0	3	0	100.0	99.82896237172177	60
9e21d40f-d909-4594-aea7-6f5721382ed7	sal2_1_pilon_pilon_pilon	95.87939698492463	0.01902550752782555	41	995	10573	11528	955	+	955	995	954	0	1	1	99.895178197065	99.79057591623037	60
98b81ee7-243e-4004-8914-f2cfe8457f75	sal2_1_pilon_pilon_pilon	100.0	0.012351638395028107	0	618	10789	11409	620	-	621	618	617	1	3	1	99.83792544570503	99.19484702093398	60
a44dbe86-a688-451d-affc-a856573d309f	sal2_1_pilon_pilon_pilon	98.36065573770492	0.005976599223400697	0	300	11838	12138	300	+	300	305	300	0	0	0	100.0	100.0	60
074e6c08-3144-4341-9d1a-bccb26397eb0	sal2_1_pilon_pilon_pilon	100.0	0.05655855065078193	0	2837	12110	14949	2839	-	2839	2837	2837	0	2	0	100.0	99.92955265938711	60
3899583a-4bdb-4fb1-93df-6cd51ab7bbe2	sal2_1_pilon_pilon_pilon	100.0	0.09239822399377477	0	4638	12542	17180	4638	+	4638	4638	4638	0	0	2	99.95687796463993	99.95687796463993	60
c7b5eebb-4874-4d4f-a4c2-e98aed4ddb72	sal2_1_pilon_pilon_pilon	100.0	0.19200821105045304	0	9632	13419	23057	9638	-	9641	9632	9629	3	9	4	99.9584588223076	99.83404211181413	60
6aedde83-7cd1-4915-89f4-82c54ae5777b	sal2_1_pilon_pilon_pilon	100.0	0.03153652190214434	0	1583	14784	16367	1583	+	1583	1583	1583	0	0	0	100.0	100.0	60
84d19ad9-4db8-4893-8e90-65353ff95226	sal2_1_pilon_pilon_pilon	100.0	0.4479261897964709	0	22469	15323	37807	22484	-	22484	22469	22469	0	15	2	99.99109884730072	99.92439067781534	60
da910be5-b085-4f62-841e-84c88fe85519	sal2_1_pilon_pilon_pilon	100.0	0.328573503305159	0	16469	16538	33031	16493	+	16494	16469	16468	1	25	2	99.98785523439398	99.83024129986661	60
17a66a23-8a21-4458-a68a-bdae75e3bb0c	sal2_1_pilon_pilon_pilon	100.0	0.17377958341908092	0	8716	17305	26028	8723	-	8723	8716	8716	0	7	0	100.0	99.91975237876878	60
bdfbdaf0-0f7c-4bfa-961e-2836a3c8a9ca	sal2_1_pilon_pilon_pilon	100.0	0.007391061039605529	0	371	17599	17970	371	-	371	371	371	0	0	0	100.0	100.0	60
