Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
bc2_R941.100.fq.seed1.ngs	2	2	2	2	2	2	5525782	5525782	5525782	5525782	5525782	5525782	2	5358195	5525782	5379811	35.27	35.34	5358195	5358195	5358195	5358195	5200773.2	5341886.4	1	1	1	1	1	1	5358195	0	0	0	0	0 + 1 part	166142	99.598	1.000	0.00	0.19	0.35	5358192	5359637	5358192	5358192	5358192	5358192	5195685.2	5336660.3	1	1	1	1
bc2_R941.100.fq.seed1.ont	5	5	4	4	3	3	5647564	5647564	5645903	5645903	5632549	5632549	5	5357716	5647564	5379811	35.60	35.34	5357716	5357716	5357716	5357716	5089784.6	5343103.0	1	1	1	1	1	1	5357716	0	0	0	0	3 + 1 part	288403	99.598	1.000	0.00	0.26	8.64	5357713	5359158	5357713	5357713	5357713	5357713	5082738.4	5335706.2	1	1	1	1
bc2_R941.100.fq.seed2.ngs	2	2	2	2	2	2	5525783	5525783	5525783	5525783	5525783	5525783	2	5358193	5525783	5379811	35.27	35.34	5358193	5358193	5358193	5358193	5200768.6	5341882.6	1	1	1	1	1	1	5358193	0	0	0	0	0 + 1 part	166145	99.598	1.000	0.00	0.19	0.15	5358189	5359634	5358189	5358189	5358189	5358189	5195678.4	5336654.3	1	1	1	1
bc2_R941.100.fq.seed2.ont	6	6	5	5	3	2	5585947	5585947	5581760	5581760	5555776	5525277	6	5357729	5585947	5379811	35.32	35.34	5357729	5357729	5357729	5357729	5144090.6	5341194.6	1	1	1	1	1	1	5357729	0	0	0	0	4 + 1 part	226773	99.598	1.000	0.00	0.28	8.58	5357725	5359170	5357725	5357725	5357725	5357725	5138827.7	5335730.1	1	1	1	1
bc2_R941.100.fq.seed3.ngs	6	6	6	6	5	2	5554314	5554314	5554314	5554314	5537043	5435454	6	5358186	5554314	5379811	35.26	35.34	5358186	5358186	5358186	5358186	5170779.2	5338502.0	1	1	1	1	1	1	5358186	0	0	0	0	4 + 1 part	194683	99.594	1.000	0.00	0.19	0.32	5358186	5359631	5358186	5358186	5358186	5358186	5168983.8	5336648.3	1	1	1	1
bc2_R941.100.fq.seed3.ont	9	9	7	7	6	2	5591129	5591129	5584306	5584306	5567039	5434946	9	5357698	5591129	5379811	35.30	35.34	5357698	5357698	5357698	5357698	5135966.7	5337706.5	1	1	1	1	1	1	5357698	0	0	0	0	7 + 1 part	231986	99.594	1.000	0.00	0.22	8.81	5357698	5359143	5357698	5357698	5357698	5357698	5134013.2	5335676.3	1	1	1	1
bc2_R941.100.fq.seed4.ngs	2	2	2	2	2	2	5525790	5525790	5525790	5525790	5525790	5525790	2	5358197	5525790	5379811	35.27	35.34	5358197	5358197	5358197	5358197	5200769.9	5341890.7	1	1	1	1	1	1	5358197	0	0	0	0	0 + 1 part	166148	99.598	1.000	0.00	0.19	0.37	5358195	5359640	5358195	5358195	5358195	5358195	5195683.5	5336666.2	1	1	1	1
bc2_R941.100.fq.seed4.ont	5	5	3	3	3	2	5556142	5556142	5551984	5551984	5551984	5525248	5	5357701	5556142	5379811	35.31	35.34	5357701	5357701	5357701	5357701	5171530.4	5341034.7	1	1	1	1	1	1	5357701	0	0	0	0	3 + 1 part	196996	99.598	1.000	0.00	0.19	9.03	5357699	5359144	5357699	5357699	5357699	5357699	5166344.0	5335678.3	1	1	1	1
bc2_R941.100.fq.seed5.ngs	2	2	2	2	2	2	5525793	5525793	5525793	5525793	5525793	5525793	2	5358187	5525793	5379811	35.27	35.34	5358187	5358187	5358187	5358187	5200748.5	5341871.6	1	1	1	1	1	1	5358187	0	0	0	0	0 + 1 part	166161	99.594	1.000	0.00	0.19	0.52	5358187	5359632	5358187	5358187	5358187	5358187	5195665.1	5336650.3	1	1	1	1
bc2_R941.100.fq.seed5.ont	6	6	6	5	2	2	5587038	5587038	5587038	5579992	5525253	5525253	6	5357692	5587038	5379811	35.31	35.34	5357692	5357692	5357692	5357692	5142980.3	5341084.7	1	1	1	1	1	1	5357692	0	0	0	0	4 + 1 part	227901	99.594	1.000	0.00	0.24	8.83	5357692	5359137	5357692	5357692	5357692	5357692	5137760.9	5335664.3	1	1	1	1
bc2_R941.10.fq.seed1.ngs	13	13	12	11	11	10	5509428	5509428	5507907	5499226	5499226	5462917	13	1709910	5509428	5379811	35.26	35.34	1216541	1216541	213555	222520	1056671.5	1082130.1	2	2	7	6	1	1	1216541	0	0	0	0	2 + 3 part	183022	98.947	1.001	0.00	1.97	1.80	1709905	5326299	891705	891705	213555	222487	946297.9	969097.3	3	3	8	7
bc2_R941.10.fq.seed1.ont	13	13	12	11	11	10	5508645	5508645	5507124	5498133	5498133	5461886	13	1709382	5508645	5379811	35.25	35.34	1216572	1216572	213468	222400	1056388.3	1081686.4	2	2	7	6	1	1	1216572	0	0	0	0	2 + 3 part	183278	98.947	1.000	0.00	27.96	85.25	1709377	5325329	891954	891954	213468	222367	946050.9	968706.6	3	3	8	7
bc2_R941.10.fq.seed2.ngs	15	15	15	15	14	14	5541692	5541692	5541692	5541692	5523656	5523656	15	1023201	5541692	5379811	35.26	35.34	493511	493511	206132	269015	546815.0	563269.0	4	4	11	10	1	1	689516	0	0	0	0	0 + 4 part	183616	99.376	1.001	0.00	6.74	7.38	1022393	5354210	475113	475113	181546	206132	505414.3	520622.4	5	5	12	11
bc2_R941.10.fq.seed2.ont	15	15	15	15	14	14	5541675	5541675	5541675	5541675	5523643	5523643	15	1023541	5541675	5379811	35.25	35.34	493424	493424	206102	268931	546882.0	563336.2	4	4	11	10	1	1	689326	0	0	0	0	0 + 3 part	175552	99.375	1.003	0.00	50.44	108.35	1023328	5364830	475000	475000	181506	206083	507185.9	522445.8	5	5	12	11
bc2_R941.10.fq.seed3.ngs	14	14	13	13	9	9	5538700	5538700	5535860	5535860	5461986	5461986	14	2213043	5538700	5379811	35.25	35.34	805690	805690	369814	369814	1197436.0	1232801.5	2	2	6	6	1	1	2213043	3	0	0	0	1 + 2 part	192757	99.092	1.003	0.04	10.83	12.05	1869924	5345903	595880	595880	343119	343119	960093.7	988449.4	3	3	7	7
bc2_R941.10.fq.seed3.ont	14	14	13	13	9	9	5537686	5537686	5534858	5534858	5460908	5460908	14	2212963	5537686	5379811	35.23	35.34	805454	805454	369534	369534	1197423.8	1232563.2	2	2	6	6	1	1	2212963	1	0	0	0	2 + 2 part	195568	99.069	1.002	0.00	39.67	101.63	1869930	5342015	595824	595824	343033	343033	960087.5	988262.1	3	3	7	7
bc2_R941.10.fq.seed4.ngs	13	13	12	10	9	9	5496919	5496919	5494585	5481756	5463737	5463737	13	1439400	5496919	5379811	35.26	35.34	976278	1255280	329831	329831	945372.9	965951.9	3	2	7	7	1	1	1255280	1	0	0	0	1 + 1 part	184167	98.723	1.000	0.00	0.58	0.96	1439397	5312575	880387	880387	329831	329831	820090.6	837942.4	3	3	8	8
bc2_R941.10.fq.seed4.ont	13	13	12	10	9	9	5495688	5495688	5493365	5480544	5462529	5462529	13	1438850	5495688	5379811	35.25	35.34	975988	1254895	329663	329663	945041.7	965397.2	3	2	7	7	1	1	1254895	0	0	0	0	2 + 2 part	197060	98.501	1.000	0.00	27.65	85.40	1438847	5298625	880135	880135	329663	329663	818227.8	835851.8	3	3	8	8
bc2_R941.10.fq.seed5.ngs	12	12	12	12	12	10	5532176	5532176	5532176	5532176	5532176	5449625	12	1473313	5532176	5379811	35.29	35.34	884054	884054	188003	250762	919180.8	945213.5	3	3	7	6	2	2	1134816	1	0	0	0	1 + 5 part	212113	98.741	1.001	0.00	3.95	5.73	1470650	5319987	693804	693804	155699	155699	839185.5	862952.6	3	3	8	8
bc2_R941.10.fq.seed5.ont	12	12	12	12	12	10	5531514	5531514	5531514	5531514	5531514	5449050	12	1472882	5531514	5379811	35.28	35.34	884176	884176	188460	250747	918911.1	944823.1	3	3	7	6	2	2	1134923	1	0	0	0	1 + 4 part	209932	98.760	1.002	0.00	27.34	85.41	1470206	5321520	693528	693528	155604	155604	839109.3	862771.0	3	3	8	8
bc2_R941.110.fq.seed1.ngs	2	2	2	2	2	2	5525777	5525777	5525777	5525777	5525777	5525777	2	5358182	5525777	5379811	35.27	35.34	5358182	5358182	5358182	5358182	5200753.2	5341861.0	1	1	1	1	1	1	5358182	0	0	0	0	0 + 1 part	166150	99.594	1.000	0.00	0.24	0.43	5358182	5359627	5358182	5358182	5358182	5358182	5195670.5	5336640.3	1	1	1	1
bc2_R941.110.fq.seed1.ont	6	6	5	5	3	3	5662403	5662403	5660742	5660742	5624442	5624442	6	5357681	5662403	5379811	35.65	35.34	5357681	5357681	5357681	5357681	5076178.7	5342821.4	1	1	1	1	1	1	5357681	0	0	0	0	4 + 1 part	303277	99.594	1.000	0.00	0.24	9.03	5357681	5359126	5357681	5357681	5357681	5357681	5069358.0	5335642.4	1	1	1	1
bc2_R941.110.fq.seed2.ngs	6	6	6	6	5	2	5554282	5554282	5554282	5554282	5537010	5435452	6	5358188	5554282	5379811	35.26	35.34	5358188	5358188	5358188	5358188	5170812.5	5338505.5	1	1	1	1	1	1	5358188	0	0	0	0	4 + 1 part	194649	99.594	1.000	0.02	0.19	0.45	5358188	5359633	5358188	5358188	5358188	5358188	5169017.5	5336652.3	1	1	1	1
bc2_R941.110.fq.seed2.ont	12	12	10	9	5	2	5618236	5618236	5610032	5604177	5536462	5434926	12	5357686	5618236	5379811	35.31	35.34	5357686	5357686	5357686	5357686	5111171.9	5337691.2	1	1	1	1	1	1	5357686	0	0	0	0	10 + 1 part	259105	99.594	1.000	0.00	0.26	8.98	5357686	5359131	5357686	5357686	5357686	5357686	5109219.6	5335652.4	1	1	1	1
bc2_R941.110.fq.seed3.ngs	6	6	6	6	5	2	5554305	5554305	5554305	5554305	5537034	5435463	6	5358183	5554305	5379811	35.26	35.34	5358183	5358183	5358183	5358183	5170782.0	5338496.2	1	1	1	1	1	1	5358183	0	0	0	0	4 + 1 part	194677	99.594	1.000	0.00	0.21	0.32	5358183	5359628	5358183	5358183	5358183	5358183	5168986.4	5336642.3	1	1	1	1
bc2_R941.110.fq.seed3.ont	10	10	8	8	6	3	5627945	5627945	5621490	5621490	5590182	5488627	10	5357686	5627945	5379811	35.30	35.34	5357686	5357686	5357686	5357686	5102727.6	5338081.6	1	1	1	1	1	1	5357686	0	0	0	0	8 + 1 part	268814	99.594	1.000	0.00	0.24	9.03	5357686	5359131	5357686	5357686	5357686	5357686	5100405.5	5335652.4	1	1	1	1
bc2_R941.110.fq.seed4.ngs	6	6	6	6	5	2	5554290	5554290	5554290	5554290	5537022	5435456	6	5358182	5554290	5379811	35.26	35.34	5358182	5358182	5358182	5358182	5170793.8	5338493.9	1	1	1	1	1	1	5358182	0	0	0	0	4 + 1 part	194663	99.594	1.000	0.00	0.19	0.45	5358182	5359627	5358182	5358182	5358182	5358182	5168998.5	5336640.3	1	1	1	1
bc2_R941.110.fq.seed4.ont	12	12	11	9	5	2	5628850	5628850	5624657	5609198	5536492	5434947	12	5357694	5628850	5379811	35.28	35.34	5357694	5357694	5357694	5357694	5101584.8	5337744.3	1	1	1	1	1	1	5357694	0	0	0	0	10 + 1 part	269711	99.594	1.000	0.00	0.22	8.84	5357694	5359139	5357694	5357694	5357694	5357694	5099600.6	5335668.3	1	1	1	1
bc2_R941.110.fq.seed5.ngs	2	2	2	2	2	2	5525773	5525773	5525773	5525773	5525773	5525773	2	5358186	5525773	5379811	35.27	35.34	5358186	5358186	5358186	5358186	5200764.2	5341868.4	1	1	1	1	1	1	5358186	0	0	0	0	0 + 1 part	166142	99.594	1.000	0.00	0.19	0.35	5358186	5359631	5358186	5358186	5358186	5358186	5195682.0	5336648.3	1	1	1	1
bc2_R941.110.fq.seed5.ont	7	7	6	5	4	4	5715834	5715834	5712879	5705789	5682730	5682730	7	5357690	5715834	5379811	35.61	35.34	5357690	5357690	5357690	5357690	5029452.9	5343592.5	1	1	1	1	1	1	5357690	0	0	0	0	5 + 1 part	356699	99.594	1.000	0.00	0.26	8.81	5357690	5359135	5357690	5357690	5357690	5357690	5021987.0	5335660.3	1	1	1	1
bc2_R941.120.fq.seed1.ngs	7	6	3	2	2	2	5540065	5539215	5530862	5525744	5525744	5525744	7	5358185	5540065	5379811	35.29	35.34	5358185	5358185	5358185	5358185	5187353.2	5341874.3	1	1	1	1	1	1	5358185	0	0	0	0	3 + 1 part	174430	99.594	1.001	0.00	0.21	0.47	5358185	5365630	5358185	5358185	5358185	5358185	5182280.0	5336649.9	1	1	1	1
bc2_R941.120.fq.seed1.ont	10	9	5	3	3	3	5656179	5655329	5645316	5632189	5632189	5632189	10	5357680	5656179	5379811	35.60	35.34	5357680	5357680	5357680	5357680	5081940.0	5343005.9	1	1	1	1	1	1	5357680	0	0	0	0	6 + 1 part	291050	99.594	1.001	0.00	0.24	9.10	5357680	5365124	5357680	5357680	5357680	5357680	5074937.7	5335644.0	1	1	1	1
bc2_R941.120.fq.seed2.ngs	11	10	6	6	5	2	5567826	5567289	5554294	5554294	5537022	5435478	11	5358199	5567826	5379811	35.27	35.34	5358199	5358199	5358199	5358199	5158264.2	5338536.5	1	1	1	1	1	1	5358199	0	0	0	0	6 + 1 part	199079	99.594	1.002	0.00	0.78	0.73	5358197	5368743	5358197	5358197	5358197	5358197	5156467.7	5336677.2	1	1	1	1
bc2_R941.120.fq.seed2.ont	16	15	11	9	6	2	5655241	5654704	5641599	5624210	5581311	5434941	16	5357682	5655241	5379811	35.31	35.34	5357682	5357682	5357682	5357682	5077992.0	5337969.8	1	1	1	1	1	1	5357682	0	0	0	0	11 + 1 part	287010	99.594	1.002	0.00	0.76	9.33	5357680	5368227	5357680	5357680	5357680	5357680	5075782.7	5335647.4	1	1	1	1
bc2_R941.120.fq.seed3.ngs	6	6	6	6	5	2	5554298	5554298	5554298	5554298	5537027	5435468	6	5358188	5554298	5379811	35.26	35.34	5358188	5358188	5358188	5358188	5170798.1	5338506.0	1	1	1	1	1	1	5358188	0	0	0	0	4 + 1 part	194665	99.594	1.000	0.00	0.19	0.45	5358188	5359633	5358188	5358188	5358188	5358188	5169002.6	5336652.3	1	1	1	1
bc2_R941.120.fq.seed3.ont	15	15	12	10	5	2	5648582	5648582	5640402	5623646	5536475	5434946	15	5357687	5648582	5379811	35.29	35.34	5357687	5357687	5357687	5357687	5083795.4	5337777.7	1	1	1	1	1	1	5357687	0	0	0	0	13 + 1 part	289450	99.594	1.000	0.00	0.24	8.86	5357687	5359132	5357687	5357687	5357687	5357687	5081773.1	5335654.4	1	1	1	1
bc2_R941.120.fq.seed4.ngs	6	6	6	6	5	2	5554291	5554291	5554291	5554291	5537023	5435448	6	5358181	5554291	5379811	35.26	35.34	5358181	5358181	5358181	5358181	5170790.9	5338491.8	1	1	1	1	1	1	5358181	0	0	0	0	4 + 1 part	194665	99.594	1.000	0.00	0.19	0.39	5358181	5359626	5358181	5358181	5358181	5358181	5168995.6	5336638.4	1	1	1	1
bc2_R941.120.fq.seed4.ont	11	11	10	7	6	2	5608409	5608409	5604216	5580603	5563337	5434911	11	5357665	5608409	5379811	35.28	35.34	5357665	5357665	5357665	5357665	5120075.5	5337636.8	1	1	1	1	1	1	5357665	0	0	0	0	9 + 1 part	249299	99.594	1.000	0.00	0.26	9.37	5357665	5359110	5357665	5357665	5357665	5357665	5118131.8	5335610.6	1	1	1	1
bc2_R941.120.fq.seed5.ngs	2	2	2	2	2	2	5525782	5525782	5525782	5525782	5525782	5525782	2	5358192	5525782	5379811	35.27	35.34	5358192	5358192	5358192	5358192	5200767.6	5341880.6	1	1	1	1	1	1	5358192	0	0	0	0	0 + 1 part	166145	99.598	1.000	0.00	0.19	0.22	5358192	5359637	5358192	5358192	5358192	5358192	5195685.2	5336660.3	1	1	1	1
bc2_R941.120.fq.seed5.ont	7	7	7	6	6	4	5724855	5724855	5724855	5717741	5717741	5651063	7	5357675	5724855	5379811	35.63	35.34	5357675	5357675	5357675	5357675	5020798.6	5342816.7	1	1	1	1	1	1	5357675	0	0	0	0	5 + 1 part	365735	99.598	1.000	0.00	0.21	9.12	5357675	5359120	5357675	5357675	5357675	5357675	5014045.5	5335630.5	1	1	1	1
