Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
sal2_R941.120.fq.seed2.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212033	4212033	0.000%	5
sal2_R941.10.fq.seed2.ont.fa	enterobacterales_odb10	84.5	84.3	0.2	10.0	5.5	440	3011790	3011790	0.000%	6
sal2_simplex.60.fq.seed4.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215209	4215209	0.000%	5
sal2_simplex.30.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215130	4215130	0.000%	5
sal2_simplex.10.fq.seed4.ont.fa	enterobacterales_odb10	93.4	93.2	0.2	3.6	3.0	440	563681	563681	0.000%	14
sal2_simplex.20.fq.seed2.ont.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215159	4215159	0.000%	6
sal2_simplex.60.fq.seed5.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215187	4215187	0.000%	5
sal2_simplex.70.fq.seed1.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215183	4215183	0.000%	5
sal2_simplex.60.fq.seed1.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215183	4215183	0.000%	5
sal2_simplex.40.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215202	4215202	0.000%	5
sal2_R941.40.fq.seed1.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211631	4211631	0.000%	4
sal2_simplex.90.fq.seed4.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215216	4215216	0.000%	5
sal2_R941.70.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212027	4212027	0.000%	5
sal2_R941.100.fq.seed2.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.6	0.7	440	4211670	4211670	0.000%	10
sal2_simplex.120.fq.seed5.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215183	4215183	0.000%	6
sal2_R941.50.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212029	4212029	0.000%	5
sal2_R941.50.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	1.6	1.2	440	4211667	4211667	0.000%	4
sal2_R941.60.fq.seed4.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.8	0.5	440	4211682	4211682	0.000%	7
sal2_R941.80.fq.seed1.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	1.6	0.9	440	4211679	4211679	0.000%	6
sal2_R941.70.fq.seed3.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.4	0.9	440	4211720	4211720	0.000%	5
sal2_simplex.100.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215226	4215226	0.000%	5
sal2_R941.90.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4212029	4212029	0.000%	4
sal2_R941.40.fq.seed2.ont.fa	enterobacterales_odb10	96.6	96.4	0.2	2.7	0.7	440	5019153	5019153	0.000%	2
sal2_R941.30.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212047	4212047	0.000%	4
sal2_simplex.90.fq.seed3.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215184	4215184	0.000%	5
sal2_R941.110.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212031	4212031	0.000%	5
sal2_simplex.70.fq.seed2.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215264	4215264	0.000%	5
sal2_R941.50.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212032	4212032	0.000%	4
sal2_R941.50.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212013	4212013	0.000%	4
sal2_simplex.20.fq.seed5.ont.fa	enterobacterales_odb10	98.2	98.0	0.2	0.9	0.9	440	4215359	4215359	0.000%	4
sal2_simplex.70.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215209	4215209	0.000%	5
sal2_simplex.50.fq.seed5.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215288	4215288	0.000%	5
sal2_R941.60.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212037	4212037	0.000%	4
sal2_R941.50.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212018	4212018	0.000%	5
sal2_simplex.110.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	5019628	5019628	0.000%	5
sal2_R941.90.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212040	4212040	0.000%	5
sal2_R941.80.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212039	4212039	0.000%	4
sal2_R941.100.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212034	4212034	0.000%	4
sal2_simplex.100.fq.seed1.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215178	4215178	0.000%	5
sal2_simplex.80.fq.seed1.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215185	4215185	0.000%	5
sal2_R941.40.fq.seed3.ont.fa	enterobacterales_odb10	96.6	96.4	0.2	2.5	0.9	440	4211646	4211646	0.000%	4
sal2_simplex.40.fq.seed1.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215181	4215181	0.000%	6
sal2_simplex.60.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215211	4215211	0.000%	5
sal2_simplex.30.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215204	4215204	0.000%	4
sal2_R941.70.fq.seed2.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.8	0.7	440	4211704	4211704	0.000%	6
sal2_simplex.120.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215200	4215200	0.000%	5
sal2_R941.90.fq.seed2.ont.fa	enterobacterales_odb10	97.0	96.8	0.2	2.0	1.0	440	4211681	4211681	0.000%	8
sal2_R941.50.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212001	4212001	0.000%	4
sal2_R941.90.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212022	4212022	0.000%	4
sal2_R941.40.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212011	4212011	0.000%	4
sal2_R941.70.fq.seed4.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.8	0.5	440	4211695	4211695	0.000%	7
sal2_R941.120.fq.seed4.ont.fa	enterobacterales_odb10	97.5	97.0	0.5	1.8	0.7	440	4211682	4211682	0.000%	11
sal2_R941.20.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4211977	4211977	0.000%	4
sal2_R941.110.fq.seed2.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.6	0.7	440	4211673	4211673	0.000%	11
sal2_R941.120.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212039	4212039	0.000%	5
sal2_simplex.110.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215204	4215204	0.000%	5
sal2_R941.120.fq.seed3.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.6	0.7	440	4211659	4211659	0.000%	13
sal2_simplex.10.fq.seed2.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.2	1.0	440	568264	568264	0.000%	21
sal2_R941.30.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212029	4212029	0.000%	4
sal2_R941.20.fq.seed4.ngs.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4211986	4211986	0.000%	4
sal2_R941.100.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	2.0	0.8	440	4211682	4211682	0.000%	16
sal2_R941.20.fq.seed4.ont.fa	enterobacterales_odb10	95.2	95.0	0.2	3.9	0.9	440	4211528	4211528	0.000%	4
sal2_R941.90.fq.seed1.ont.fa	enterobacterales_odb10	97.8	97.3	0.5	1.4	0.8	440	4211671	4211671	0.000%	7
sal2_simplex.50.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215201	4215193	0.000%	5
sal2_R941.80.fq.seed2.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.8	0.7	440	4211675	4211675	0.000%	8
sal2_simplex.40.fq.seed4.ont.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215185	4215185	0.000%	6
sal2_simplex.30.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	4215206	4215206	0.000%	5
sal2_R941.40.fq.seed4.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	1.8	1.0	440	4211625	4211625	0.000%	4
sal2_R941.90.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212033	4212033	0.000%	5
sal2_simplex.60.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215208	4215208	0.000%	5
sal2_R941.80.fq.seed5.ont.fa	enterobacterales_odb10	96.6	96.4	0.2	2.3	1.1	440	4211713	4211713	0.000%	7
sal2_R941.60.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211680	4211680	0.000%	5
sal2_simplex.20.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215125	4215125	0.000%	5
sal2_R941.30.fq.seed4.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212045	4212045	0.000%	4
sal2_simplex.90.fq.seed5.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4198749	4198749	0.000%	6
sal2_R941.10.fq.seed3.ont.fa	enterobacterales_odb10	85.2	85.0	0.2	9.1	5.7	440	1146999	1146999	0.000%	6
