Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
kp1_R941.100.fq.seed1.ngs	4	4	4	4	3	3	5658420	5658420	5658420	5658420	5648359	5648359	4	5324818	5658420	5406825	57.15	57.50	5324818	5324818	5324818	5324818	5021183.0	5254832.9	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328235	98.485	1.001	0.00	0.04	0.68	5324818	5330185	5324818	5324818	5324818	5324818	5010885.5	5244056.3	1	1	1	1
kp1_R941.100.fq.seed1.ont	4	4	4	4	3	3	5657669	5657669	5657669	5657669	5647613	5647613	4	5324158	5657669	5406825	57.15	57.50	5324158	5324158	5324158	5324158	5020602.6	5253528.2	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328145	98.485	1.001	0.00	0.19	12.05	5324158	5329524	5324158	5324158	5324158	5324158	5010308.4	5242756.4	1	1	1	1
kp1_R941.100.fq.seed2.ngs	4	4	4	4	3	3	5673918	5673918	5673918	5673918	5653853	5653853	4	5330316	5673918	5406825	57.14	57.50	5330316	5330316	5330316	5330316	5017845.6	5265723.3	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338235	98.611	1.001	0.00	0.04	0.79	5330316	5335683	5330316	5330316	5330316	5330316	5007523.3	5254891.1	1	1	1	1
kp1_R941.100.fq.seed2.ont	4	4	4	4	3	3	5673169	5673169	5673169	5673169	5653106	5653106	4	5329652	5673169	5406825	57.14	57.50	5329652	5329652	5329652	5329652	5017255.9	5264409.5	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	338150	98.611	1.001	0.00	0.17	11.34	5329652	5335019	5329652	5329652	5329652	5329652	5006936.7	5253582.0	1	1	1	1
kp1_R941.100.fq.seed3.ngs	4	4	4	4	3	3	5658479	5658479	5658479	5658479	5648418	5648418	4	5324875	5658479	5406825	57.15	57.50	5324875	5324875	5324875	5324875	5021238.1	5254945.4	1	1	1	1	1	1	5324875	0	0	0	1	2 + 1 part	328237	98.486	1.001	0.00	0.02	0.86	5324875	5330242	5324875	5324875	5324875	5324875	5010940.5	5244168.6	1	1	1	1
kp1_R941.100.fq.seed3.ont	4	4	4	4	3	3	5657734	5657734	5657734	5657734	5647675	5647675	4	5324220	5657734	5406825	57.14	57.50	5324220	5324220	5324220	5324220	5020661.5	5253650.2	1	1	1	1	1	1	5324220	0	0	0	1	2 + 1 part	328148	98.486	1.001	0.00	0.17	11.63	5324220	5329586	5324220	5324220	5324220	5324220	5010367.5	5242878.5	1	1	1	1
kp1_R941.100.fq.seed4.ngs	4	4	4	4	3	3	5658475	5658475	5658475	5658475	5648415	5648415	4	5324872	5658475	5406825	57.15	57.50	5324872	5324872	5324872	5324872	5021236.0	5254939.6	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328234	98.486	1.001	0.00	0.08	0.53	5324871	5330240	5324871	5324871	5324871	5324871	5010936.5	5244160.7	1	1	1	1
kp1_R941.100.fq.seed4.ont	4	4	4	4	3	3	5657742	5657742	5657742	5657742	5647684	5647684	4	5324232	5657742	5406825	57.14	57.50	5324232	5324232	5324232	5324232	5020676.8	5253673.7	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328144	98.486	1.001	0.00	0.15	11.16	5324231	5329597	5324231	5324231	5324231	5324231	5010381.1	5242900.2	1	1	1	1
kp1_R941.100.fq.seed5.ngs	4	4	4	4	3	3	5658478	5658478	5658478	5658478	5648418	5648418	4	5324878	5658478	5406825	57.15	57.50	5324878	5324878	5324878	5324878	5021244.4	5254951.1	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328233	98.486	1.001	0.00	0.13	0.60	5324878	5330245	5324878	5324878	5324878	5324878	5010947.0	5244174.5	1	1	1	1
kp1_R941.100.fq.seed5.ont	4	4	4	4	3	3	5657735	5657735	5657735	5657735	5647679	5647679	4	5324229	5657735	5406825	57.15	57.50	5324229	5324229	5324229	5324229	5020677.2	5253667.6	1	1	1	1	0	0	0	0	0	0	1	2 + 1 part	328140	98.486	1.001	0.00	0.15	11.43	5324229	5329595	5324229	5324229	5324229	5324229	5010383.5	5242896.2	1	1	1	1
